region,percent,expenses,expenses_int,id
Africa,24.39%," 450,630,808 ",450630808,RBA
Arab States,14.43%," 266,646,477 ",266646477,RBAS
Asia and the Pacific,23.97%," 442,865,735 ",442865735,RBAP
Europe and CIS,7.35%," 135,751,368 ",135751368,RBEC
Global and Others,2.16%," 39,931,558 ",39931558,global
Latin America & the Caribbean,26.14%," 482,831,422 ",482831422,RBLAC
PAPP,1.55%," 28,626,137 ",28626137,PAPP
