OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Afghanistan,-,-,-,-,-,-,-299999.32
Afghanistan,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,-0.45
Afghanistan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,-35.88
Afghanistan,44,GOVERNMENT OF AFGHANISTAN,AFG,Afghanistan,AFG_GOVT,Afghanistan Government,29238.55
Afghanistan,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,0
Afghanistan,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,1833516.96
Afghanistan,105,"GOVERNMENT OF ESTONIA, REPUBLI",EST,Republic of Estonia,EST_GOVT,Republic of Estonia Government,0
Afghanistan,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,-0.22
Afghanistan,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,-2391.18
Afghanistan,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,17506788.21
Afghanistan,131,GOVERNMENT OF INDIA,IND,India,IND_GOVT,India Government,0
Afghanistan,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,-3407.37
Afghanistan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,146944555.2
Afghanistan,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,7635032.73
Afghanistan,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,4902455.71
Afghanistan,204,GOVERNMENT OF REPUBLIC OF KORE,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,5282530.33
Afghanistan,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,-8926.77
Afghanistan,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,-4961.87
Afghanistan,244,GOVERNMENT OF TURKEY,TUR,Turkey,TUR_GOVT,Turkey Government,-371403.71
Afghanistan,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,-25224.72
Afghanistan,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,-0.01
Afghanistan,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,1624733.86
Afghanistan,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,-922535.12
Afghanistan,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,-61054.69
Afghanistan,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,3007001.24
Afghanistan,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,9843809.82
Afghanistan,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,59469490
Afghanistan,10203,"UNAMA, KABUL",UN_AGY 1,UN AGENCY 1,UNAMA_ KAB,AGY_UNAMA_ KABUL,0
Afghanistan,10216,AG. ESPANOLA DE COOPERACION IN,ESP,Spain,ESP_MIN,Spain Ministry,0
Afghanistan,10281,DEPT OF FOR AFF & INTL TRADE G,CAN,Canada,CAN_GOVT,Canada Government,0
Afghanistan,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,3839146.93
Afghanistan,10480,USAID,USA,United States of America,USAID,USAID,67810358.28
Afghanistan,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,-56301.02
Afghanistan,10813,AUSTRALIAN DIMA,AUS,Australia,AUS_GOVT,Australia Government,0
Afghanistan,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,3153042
Afghanistan,11211,IRISH AID,IRL,Ireland,IRL_GOVT,Ireland Government,0
Afghanistan,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,2622872.55
Afghanistan,12223,New York University of Abu Dha,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARE -,NYUADC,10000
Albania,-,-,-,-,-,-,0
Albania,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Albania,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,56525.62
Albania,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,50000
Albania,45,GOVERNMENT OF ALBANIA,ALB,Albania,ALB_GOVT,Albania Government,19729.54
Albania,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,135869.57
Albania,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,1054018.45
Albania,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
Albania,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,0
Albania,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,0
Albania,1232,ALB-SLOVENIAN ITF FOR MINE ACT,ALB,Albania,ALB_GOVT,Albania Government,55867.72
Albania,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,1208842.32
Albania,10480,USAID,USA,United States of America,USAID,USAID,300000
Albania,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,-167.22
Albania,11266,Austrian Development Agency,AUT,Austria,AUT_GOVT,Austria Government,0
Albania,11403,SDC-Swiss Agency For Developme,CHE,Switzerland,CHE_MIN,Switzerland Ministry,653791.56
Albania,11793,UNDP AS MA_POOLED FUNDS,UN_AGY 1,UN AGENCY 1,UNDP_MA,UNDP AS MA_POOLED FUNDS,56525.62
Algeria,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,0
Algeria,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,323072
Algeria,46,GOVERNMENT OF ALGERIA,DZA,Algeria,DZA_GOVT,Algeria Government,743401.15
Algeria,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,0
Algeria,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,0
Algeria,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,80848.9
Algeria,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,40000
Algeria,10393,STATOIL,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,0
Algeria,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,0
Angola,-,-,-,-,-,-,-67727.51
Angola,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Angola,15,WORLD BANK (INT'L. BANK FOR RE,IFI_WB,IFI_WB,WB,WORLD BANK,-8013.24
Angola,49,GOVERNMENT OF ANGOLA,AGO,Angola,AGO_GOVT,Angola Government,70036.35
Angola,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,500751.12
Angola,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,-44786
Angola,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,0
Angola,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
Angola,10216,AG. ESPANOLA DE COOPERACION IN,ESP,Spain,ESP_MIN,Spain Ministry,0
Angola,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,-199833.52
Angola,10734,INSTITUTE GLOBAL ENVI STRATEGY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,IGES,PRIV_IGES,-1567.01
Angola,11072,AECI-AGENCIA ESPANOLA DE COOPE,ESP,Spain,ESP_MIN,Spain Ministry,0
Argentina,-,-,-,-,-,-,-3904742.63
Argentina,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,0
Argentina,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,-779.2
Argentina,59,GOVERNMENT OF BARBADOS,BRB,Barbados,BRB_GOVT,Barbados Government,0
Argentina,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,102474.88
Argentina,313,INCOME GENERATED FROM PROJECTS,UN_AGY 1,UN AGENCY 1,IGP,AGY_INCOME GENERATED FROM PROJ,0
Argentina,1013,ARG-GOBIERNO,ARG,Argentina,ARG_GOVT,Argentina Government,146118771.2
Argentina,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,75.83
Argentina,11654,Fundacion Provivienda Social,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARGENTINA,PRIVATE NATIONAL,6404.5
Armenia,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,40000
Armenia,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,0
Armenia,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,0
Armenia,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
Armenia,1059,Armenia Government,ARM,Armenia,ARM_GOVT,Armenia Government,4962819.59
Armenia,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,819966.69
Armenia,10737,COCA COLA COMPANY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COCA COLA,PRIV_COCA COLA,0
Armenia,11266,Austrian Development Agency,AUT,Austria,AUT_GOVT,Austria Government,0
Armenia,11809,Fruitful Armenia,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARMENIA,PRIVATE NATIONAL,0
Armenia,11913,Armenian missionary Associatio,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARMENIA,PRIVATE NATIONAL,36759.54
Armenia,11924,MPTF/JP_UN PART RIGHTS DISAB,MDTF1,BU,UN_PRPD_DISABILITIES,Rights of Persons- Disabilitie,86349
Armenia,12088,National Platform on DRR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PLATFORM,National Platform on DRR,10898.52
Azerbaijan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Azerbaijan,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Azerbaijan,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
Azerbaijan,1060,AZE-GOVERNMENT,AZE,Azerbaijan,AZE_GOVT,Azerbaijan Government,4026200.29
Azerbaijan,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,461993.71
Azerbaijan,11965,SYSLAB International Ltd,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SYSLAB,Syslab International Ltd,99908.45
BCPR,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,0
BCPR,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,2420552
BCPR,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,-2452.96
BCPR,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,691944.57
BCPR,11724,European Comm. Humanit. Aid Of,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,632411.07
Bahrain,-,-,-,-,-,-,407811.56
Bahrain,58,GOVERNMENT OF BAHRAIN,BHR,Bahrain,BHR_GOVT,Bahrain Government,-296793.01
Bahrain,11125,Ahli united Bank BSC,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,AHLI UNITE,PRIV_KUWAIT,-136.15
Bahrain,11376,Institute of public administra,BHR,Bahrain,BHR_GOVT,Bahrain Government,146096.5
Bahrain,11390,General  Organization  for You,BHR,Bahrain,BHR_GOVT,Bahrain Government,-86363.75
Bahrain,11391,eGovernment Authority,BHR,Bahrain,BHR_GOVT,Bahrain Government,-44.4
Bahrain,11527,Ministry of  Social  developme,BHR,Bahrain,BHR_MIN,Bahrain Ministry,-23083.4
Bahrain,11608,Ministry of Industry and Comme,BHR,Bahrain,BHR_MIN,Bahrain Ministry,0
Bahrain,11879,University of Bahrain,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BAHRAIN,University of Bahrain (UoB),0
Bahrain,12154,Bahrain Institute for Politica,BHR,Bahrain,BHR_MIN,Bahrain Ministry,99972
Bangladesh,-,-,-,-,-,-,0
Bangladesh,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,33.09
Bangladesh,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,0
Bangladesh,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,0.55
Bangladesh,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,657436.74
Bangladesh,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,300000
Bangladesh,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,0
Bangladesh,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,3300330.04
Bangladesh,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0
Bangladesh,328,AUSTRALIA AG FOR INTNL DEV:UNC,AUS,Australia,AUS_MIN,Australia Ministry,-15.02
Bangladesh,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,-16.8
Bangladesh,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,15326481.13
Bangladesh,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,581559.59
Bangladesh,10056,SAVE THE CHILDREN FUND,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SAVECHILD,PRIV_SAVE THE CHILDREN FUND,-19852
Bangladesh,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,16527758.1
Bangladesh,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,449556.54
Bangladesh,10480,USAID,USA,United States of America,USAID,USAID,2575072
Bangladesh,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,1516950.45
Bangladesh,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,191931.35
Bangladesh,11688,DEUTSCHE GESELLSCHAFT FUR INTE,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,130000
Bangladesh,11953,MDTFO/UNDP-JP Bangladesh IWM,MDTF1,BU,BGD JP,MDTFO/UNDP-JP Bangladesh IWM,1257623.89
Barbados,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,91000
Barbados,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Barbados,15,WORLD BANK (INT'L. BANK FOR RE,IFI_WB,IFI_WB,WB,WORLD BANK,191500
Barbados,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,0
Barbados,97,GOVERNMENT OF DOMINICA,DMA,Dominica,DMA_GOVT,Dominica Government,0
Barbados,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,0
Barbados,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Barbados,224,GOVERNMENT OF SAINT LUCIA,LCA,Saint Lucia,LCA_GOVT,Saint Lucia Government,39.43
Barbados,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,1333.69
Barbados,288,ORGANIZATION OF AMERICAN STATE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,OAS,ORGANIZATN OF AMERICAN STATES,0
Barbados,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,1734.31
Barbados,1081,BAR-GOVERNMENT OF BARBADOS,BRB,Barbados,BRB_GOVT,Barbados Government,0
Barbados,1860,UN High Com'r Human Rights,UN_AGY 1,UN AGENCY 1,UNHCHR,Office of the UN High Commissi,0
Barbados,10003,Global Environment Fund Truste,FUNDS_GEF,FUNDS_GEF,GEFTRUSTEE,GEF TRUSTEE,0
Barbados,10399,ANGAD RUPEE & SONS,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ANGAD_RUPEE,ANGAD RUPEE & SONS,207.31
Barbados,10480,USAID,USA,United States of America,USAID,USAID,46203.23
Barbados,11724,European Comm. Humanit. Aid Of,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
Barbados,12077,AUSTRALIAN GOV DEPT IICCSRTE,AUS,Australia,AUS_GOVT,Australia Government,92421.44
"Belarus, Republic of",12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
"Belarus, Republic of",206,GOVERNMENT OF RUSSIAN FEDERATI,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,0
"Belarus, Republic of",231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,0
"Belarus, Republic of",296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,0
"Belarus, Republic of",327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,10332963.24
"Belarus, Republic of",555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,0
"Belarus, Republic of",559,OFFICE OF THE HIGH COMMISSIONE,UN_AGY 1,UN AGENCY 1,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,0
"Belarus, Republic of",1784,POL-UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,25000
"Belarus, Republic of",10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,3084395.93
"Belarus, Republic of",10315,ORG FOR SECURITY AND COOPERATI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,0SCE,INTER-GOVERN_EUROP SEC ORG,21599.72
"Belarus, Republic of",10480,USAID,USA,United States of America,USAID,USAID,1274452.49
"Belarus, Republic of",10964,MARIA SHARAPOVA FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MSFOUNDATION,"PRIV_DONOR, RUSSIA",31500
Belize,-,-,-,-,-,-,0
Belize,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,704483
Belize,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,2365680.27
Belize,10869,UN DEMOCRACY FUND (UNDEF),UN_AGY 1,UN AGENCY 1,UN,United Nations,113007
Belize,11207,US Department of State,USA,United States of America,USA_GOVT,United States of America Gover,0
Belize,12081,UNDP/ COMPACT Re-granting,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OAK,UNDP/COMPACT Re-granting,163000
Benin,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,0
Benin,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Benin,62,GOVERNMENT OF BENIN,BEN,Benin,BEN_GOVT,Benin Government,1976640.92
Benin,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,0
Benin,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,0
Benin,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,-10849.41
Benin,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,0
Benin,188,GOVERNMENT OF NEW ZEALAND,NZL,New Zealand,NZL_GOVT,New Zealand Government,92593
Benin,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,0
Benin,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0
Benin,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,0
Benin,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,0
Benin,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
Benin,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,0
Benin,11365,MDTFO\JP_Central_Fund_Influenz,MDTF1,BU,CFIA,CENTRAL FUND FOR INFLUENZA,0
Bhutan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,-178.16
Bhutan,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,142259.12
Bhutan,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,25477.69
Bhutan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,348840
Bhutan,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,-857
Bhutan,264,ARAB GULF PROGRAMME FOR UN DEV,MUTLI_AGY2,MULTI-LATERAL AGENCY2,AGFUND,ARAB GULF PROGM FOR UN DEV ORG,287.23
Bhutan,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
Bhutan,342,MIN OF FOR AFF& COOP-MOZ:UNCDF,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,-32313.12
Bhutan,10480,USAID,USA,United States of America,USAID,USAID,75797.64
Bhutan,10869,UN DEMOCRACY FUND (UNDEF),UN_AGY 1,UN AGENCY 1,UN,United Nations,-1465.97
Bhutan,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,342260
Bhutan,11342,MDTFO/JP_UN_Country_Fund_BTN,MDTF1,BU,BTN_ONE_UN,BHUTAN,16151.56
Bhutan,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,0
Bolivia,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,3995.67
Bolivia,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,28500
Bolivia,69,GOVERNMENT OF BOLIVIA,BOL,Bolivia,BOL_GOVT,Bolivia Government,15852.04
Bolivia,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,5000
Bolivia,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,69.59
Bolivia,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,273154.56
Bolivia,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0
Bolivia,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,-55.85
Bolivia,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,1081598.51
Bolivia,329,DANIDA:,DNK,Denmark,DNK_MIN,Denmark Ministry,0
Bolivia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,-3562.69
Bolivia,556,SNV NETHERLANDS DEVELOPMENT OR,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SNV,Unknown Type of Agency,0
Bolivia,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,413.07
Bolivia,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,-26.55
Bolivia,11364,MDTFO\JP_MDG-F_Conflict_&_PB,MDTF1,BU,MDGF_CONFL,BCPR CONFLICT PREVENTION,41.56
Bolivia,11956,MDTFO/UNDP-JP Bolivia Indi Sup,MDTF1,BU,BOL JP,MDTFO/UNDP-JP Bolivia Indi Sup,0
Bolivia,12056,FAMSI,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FAMSI-NGO,FAMSI,15517.98
Bosnia and Herzegovina,-,-,-,-,-,-,0
Bosnia and Herzegovina,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,-67815.64
Bosnia and Herzegovina,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,25000
Bosnia and Herzegovina,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,390877.11
Bosnia and Herzegovina,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,69888.09
Bosnia and Herzegovina,67,GOVERNMENT OF BOSNIA AND HERZE,BIH,Bosnia and Herzegovina,BIH_GOVT,Bosnia and Herzegovina Governm,2192214.45
Bosnia and Herzegovina,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,0
Bosnia and Herzegovina,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,827908.86
Bosnia and Herzegovina,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,4727747.21
Bosnia and Herzegovina,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,816291.16
