key,OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses
17,Afghanistan,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,0
18,Afghanistan,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,65826.4
19,Afghanistan,244,GOVERNMENT OF TURKEY,TUR,Turkey,TUR_GOVT,Turkey Government,0
20,Afghanistan,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,142809.25
21,Afghanistan,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0
22,Afghanistan,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,1165643.49
23,Afghanistan,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,-75621.92
24,Afghanistan,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,3785206.01
25,Afghanistan,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,12486389.51
26,Afghanistan,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,4835202.37
27,Afghanistan,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,8161900.66
28,Afghanistan,10203,"UNAMA, KABUL",UN_AGY 1,UN AGENCY 1,UNAMA_ KAB,AGY_UNAMA_ KABUL,726043.6
29,Afghanistan,10216,AG. ESPANOLA DE COOPERACION IN,ESP,Spain,ESP_MIN,Spain Ministry,15279822.39
30,Afghanistan,10281,DEPT OF FOR AFF & INTL TRADE G,CAN,Canada,CAN_GOVT,Canada Government,298848.65
31,Afghanistan,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,4150249.79
32,Afghanistan,10480,USAID,USA,United States of America,USAID,USAID,55269886.03
33,Afghanistan,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,0
34,Afghanistan,10813,AUSTRALIAN DIMA,AUS,Australia,AUS_GOVT,Australia Government,98179.12
35,Afghanistan,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,0
36,Afghanistan,11211,IRISH AID,IRL,Ireland,IRL_GOVT,Ireland Government,0
37,Afghanistan,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,1954982.84
38,Afghanistan,12223,New York University of Abu Dha,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARE -,NYUADC,10
39,Albania,-,-,-,-,-,-,0
40,Albania,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,11279.86
41,Albania,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,0
42,Albania,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,13270
43,Albania,45,GOVERNMENT OF ALBANIA,ALB,Albania,ALB_GOVT,Albania Government,135536.18
44,Albania,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,44069.2
45,Albania,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,0
46,Albania,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,-348.63
47,Albania,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,94.97
48,Albania,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,600131.61
49,Albania,1232,ALB-SLOVENIAN ITF FOR MINE ACT,ALB,Albania,ALB_GOVT,Albania Government,14915.57
50,Albania,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,398940.08
51,Albania,10480,USAID,USA,United States of America,USAID,USAID,196877.95
52,Albania,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,483209.31
53,Albania,11266,Austrian Development Agency,AUT,Austria,AUT_GOVT,Austria Government,4855.05
54,Albania,11403,SDC-Swiss Agency For Developme,CHE,Switzerland,CHE_MIN,Switzerland Ministry,668639.33
55,Albania,11793,UNDP AS MA_POOLED FUNDS,UN_AGY 1,UN AGENCY 1,UNDP_MA,UNDP AS MA_POOLED FUNDS,65.61
56,Algeria,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,3414.24
57,Algeria,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,648870.51
58,Algeria,46,GOVERNMENT OF ALGERIA,DZA,Algeria,DZA_GOVT,Algeria Government,330362.83
59,Algeria,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,2819.66
60,Algeria,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,89429.63
61,Algeria,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
62,Algeria,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,0
63,Algeria,10393,STATOIL,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,4971.85
64,Algeria,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,23.63
65,Angola,-,-,-,-,-,-,0
66,Angola,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,60479.62
67,Angola,15,WORLD BANK (INT'L. BANK FOR RE,IFI_WB,IFI_WB,WB,WORLD BANK,-40443.47
68,Angola,49,GOVERNMENT OF ANGOLA,AGO,Angola,AGO_GOVT,Angola Government,111297.02
69,Angola,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,267671.81
70,Angola,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,-173.18
71,Angola,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,1270856.85
72,Angola,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,296717.17
73,Angola,10216,AG. ESPANOLA DE COOPERACION IN,ESP,Spain,ESP_MIN,Spain Ministry,281694.44
74,Angola,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,738.94
75,Angola,10734,INSTITUTE GLOBAL ENVI STRATEGY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,IGES,PRIV_IGES,26326.84
76,Angola,11072,AECI-AGENCIA ESPANOLA DE COOPE,ESP,Spain,ESP_MIN,Spain Ministry,97
77,Argentina,-,-,-,-,-,-,0
78,Argentina,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,0
79,Argentina,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
80,Argentina,59,GOVERNMENT OF BARBADOS,BRB,Barbados,BRB_GOVT,Barbados Government,0
81,Argentina,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,8173.19
82,Argentina,313,INCOME GENERATED FROM PROJECTS,UN_AGY 1,UN AGENCY 1,IGP,AGY_INCOME GENERATED FROM PROJ,0
83,Argentina,1013,ARG-GOBIERNO,ARG,Argentina,ARG_GOVT,Argentina Government,142224260.9
84,Argentina,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,28.9
85,Argentina,11654,Fundacion Provivienda Social,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARGENTINA,PRIVATE NATIONAL,92640.85
86,Armenia,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,3291.8
87,Armenia,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,0
88,Armenia,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,3341.74
89,Armenia,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,945732.8
90,Armenia,1059,Armenia Government,ARM,Armenia,ARM_GOVT,Armenia Government,5048263.18
91,Armenia,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,880981
92,Armenia,10737,COCA COLA COMPANY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COCA COLA,PRIV_COCA COLA,156.79
93,Armenia,11266,Austrian Development Agency,AUT,Austria,AUT_GOVT,Austria Government,167168.82
94,Armenia,11809,Fruitful Armenia,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARMENIA,PRIVATE NATIONAL,55085.58
95,Armenia,11913,Armenian missionary Associatio,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARMENIA,PRIVATE NATIONAL,33245.77
96,Armenia,11924,MPTF/JP_UN PART RIGHTS DISAB,MDTF1,BU,UN_PRPD_DISABILITIES,Rights of Persons- Disabilitie,0
97,Armenia,12088,National Platform on DRR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PLATFORM,National Platform on DRR,9535.12
98,Azerbaijan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,138869.68
99,Azerbaijan,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,280733.54
100,Azerbaijan,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,50158.98
101,Azerbaijan,1060,AZE-GOVERNMENT,AZE,Azerbaijan,AZE_GOVT,Azerbaijan Government,4902881.1
102,Azerbaijan,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,226067.7
103,Azerbaijan,11965,SYSLAB International Ltd,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SYSLAB,Syslab International Ltd,106317.88
104,BCPR,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,146571.49
105,BCPR,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,10689.89
106,BCPR,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,50599.25
107,BCPR,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,988011.29
108,BCPR,11724,European Comm. Humanit. Aid Of,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
109,Bahrain,-,-,-,-,-,-,0
110,Bahrain,58,GOVERNMENT OF BAHRAIN,BHR,Bahrain,BHR_GOVT,Bahrain Government,110367.69
111,Bahrain,11125,Ahli united Bank BSC,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,AHLI UNITE,PRIV_KUWAIT,0
112,Bahrain,11376,Institute of public administra,BHR,Bahrain,BHR_GOVT,Bahrain Government,108639.13
113,Bahrain,11390,General  Organization  for You,BHR,Bahrain,BHR_GOVT,Bahrain Government,0
114,Bahrain,11391,eGovernment Authority,BHR,Bahrain,BHR_GOVT,Bahrain Government,0
115,Bahrain,11527,Ministry of  Social  developme,BHR,Bahrain,BHR_MIN,Bahrain Ministry,3987.84
116,Bahrain,11608,Ministry of Industry and Comme,BHR,Bahrain,BHR_MIN,Bahrain Ministry,23477.56
117,Bahrain,11879,University of Bahrain,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BAHRAIN,University of Bahrain (UoB),161694.29
118,Bahrain,12154,Bahrain Institute for Politica,BHR,Bahrain,BHR_MIN,Bahrain Ministry,11145.89
119,Bangladesh,-,-,-,-,-,-,0
120,Bangladesh,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,669.9
121,Bangladesh,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,26894.22
122,Bangladesh,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,-1.31
123,Bangladesh,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,2197228.15
124,Bangladesh,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,22604.72
125,Bangladesh,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,418640.85
126,Bangladesh,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,3885456.3
127,Bangladesh,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0
128,Bangladesh,328,AUSTRALIA AG FOR INTNL DEV:UNC,AUS,Australia,AUS_MIN,Australia Ministry,151652.32
129,Bangladesh,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,0
130,Bangladesh,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,15250787.93
131,Bangladesh,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,850948.38
132,Bangladesh,10056,SAVE THE CHILDREN FUND,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SAVECHILD,PRIV_SAVE THE CHILDREN FUND,0
133,Bangladesh,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,9723223.6
134,Bangladesh,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,1790460.64
135,Bangladesh,10480,USAID,USA,United States of America,USAID,USAID,875718.1
136,Bangladesh,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,1379113.57
137,Bangladesh,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,4840167.63
138,Bangladesh,11688,DEUTSCHE GESELLSCHAFT FUR INTE,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,0
139,Bangladesh,11953,MDTFO/UNDP-JP Bangladesh IWM,MDTF1,BU,BGD JP,MDTFO/UNDP-JP Bangladesh IWM,500195.17
140,Barbados,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,26047.28
141,Barbados,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,4939.89
142,Barbados,15,WORLD BANK (INT'L. BANK FOR RE,IFI_WB,IFI_WB,WB,WORLD BANK,22631.1
143,Barbados,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,0
144,Barbados,97,GOVERNMENT OF DOMINICA,DMA,Dominica,DMA_GOVT,Dominica Government,2487.5
145,Barbados,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,474176.98
146,Barbados,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,-0.14
147,Barbados,224,GOVERNMENT OF SAINT LUCIA,LCA,Saint Lucia,LCA_GOVT,Saint Lucia Government,0
148,Barbados,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0
149,Barbados,288,ORGANIZATION OF AMERICAN STATE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,OAS,ORGANIZATN OF AMERICAN STATES,-19.1
150,Barbados,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0
151,Barbados,1081,BAR-GOVERNMENT OF BARBADOS,BRB,Barbados,BRB_GOVT,Barbados Government,19.1
152,Barbados,1860,UN High Com'r Human Rights,UN_AGY 1,UN AGENCY 1,UNHCHR,Office of the UN High Commissi,41190.56
153,Barbados,10003,Global Environment Fund Truste,FUNDS_GEF,FUNDS_GEF,GEFTRUSTEE,GEF TRUSTEE,-9989.71
154,Barbados,10399,ANGAD RUPEE & SONS,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ANGAD_RUPEE,ANGAD RUPEE & SONS,0
155,Barbados,10480,USAID,USA,United States of America,USAID,USAID,93.49
156,Barbados,11724,European Comm. Humanit. Aid Of,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,215698.14
157,Barbados,12077,AUSTRALIAN GOV DEPT IICCSRTE,AUS,Australia,AUS_GOVT,Australia Government,224453.23
158,"Belarus, Republic of",12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,32907.74
159,"Belarus, Republic of",206,GOVERNMENT OF RUSSIAN FEDERATI,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,1263.3
160,"Belarus, Republic of",231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,0
161,"Belarus, Republic of",296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,0
162,"Belarus, Republic of",327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,7718715
163,"Belarus, Republic of",555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,167025.31
164,"Belarus, Republic of",559,OFFICE OF THE HIGH COMMISSIONE,UN_AGY 1,UN AGENCY 1,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,3034.09
165,"Belarus, Republic of",1784,POL-UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,0
166,"Belarus, Republic of",10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,2115885.74
167,"Belarus, Republic of",10315,ORG FOR SECURITY AND COOPERATI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,0SCE,INTER-GOVERN_EUROP SEC ORG,102195.87
168,"Belarus, Republic of",10480,USAID,USA,United States of America,USAID,USAID,661678.24
169,"Belarus, Republic of",10964,MARIA SHARAPOVA FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MSFOUNDATION,"PRIV_DONOR, RUSSIA",29971.33
170,Belize,-,-,-,-,-,-,0
171,Belize,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,714229.28
172,Belize,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,1010129.3
173,Belize,10869,UN DEMOCRACY FUND (UNDEF),UN_AGY 1,UN AGENCY 1,UN,United Nations,37548.54
174,Belize,11207,US Department of State,USA,United States of America,USA_GOVT,United States of America Gover,15798.89
175,Belize,12081,UNDP/ COMPACT Re-granting,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OAK,UNDP/COMPACT Re-granting,95181.82
176,Benin,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,30001
177,Benin,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,15769.75
178,Benin,62,GOVERNMENT OF BENIN,BEN,Benin,BEN_GOVT,Benin Government,2140643.27
179,Benin,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,-2.14
180,Benin,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,-680.72
181,Benin,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,-103.82
182,Benin,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,-169.19
183,Benin,188,GOVERNMENT OF NEW ZEALAND,NZL,New Zealand,NZL_GOVT,New Zealand Government,70624.35
184,Benin,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,2264.43
185,Benin,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0.45
186,Benin,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,-8.56
187,Benin,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,-0.03
188,Benin,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,343411.46
189,Benin,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,127824.58
190,Benin,11365,MDTFO\JP_Central_Fund_Influenz,MDTF1,BU,CFIA,CENTRAL FUND FOR INFLUENZA,-39.73
191,Bhutan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
192,Bhutan,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,28472.7
193,Bhutan,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,57947.11
194,Bhutan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,7910.56
195,Bhutan,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0
196,Bhutan,264,ARAB GULF PROGRAMME FOR UN DEV,MUTLI_AGY2,MULTI-LATERAL AGENCY2,AGFUND,ARAB GULF PROGM FOR UN DEV ORG,0
197,Bhutan,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,4225.97
198,Bhutan,342,MIN OF FOR AFF& COOP-MOZ:UNCDF,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,0
199,Bhutan,10480,USAID,USA,United States of America,USAID,USAID,66372.97
200,Bhutan,10869,UN DEMOCRACY FUND (UNDEF),UN_AGY 1,UN AGENCY 1,UN,United Nations,0
201,Bhutan,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,50038.12
202,Bhutan,11342,MDTFO/JP_UN_Country_Fund_BTN,MDTF1,BU,BTN_ONE_UN,BHUTAN,0
203,Bhutan,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,0
204,Bolivia,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,6806.52
205,Bolivia,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,7548.42
206,Bolivia,69,GOVERNMENT OF BOLIVIA,BOL,Bolivia,BOL_GOVT,Bolivia Government,229316.9
207,Bolivia,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,4716.42
208,Bolivia,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,0
209,Bolivia,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,64093.47
210,Bolivia,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,6210.43
211,Bolivia,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
212,Bolivia,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,1382740
213,Bolivia,329,DANIDA:,DNK,Denmark,DNK_MIN,Denmark Ministry,1985.56
214,Bolivia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,558911.49
215,Bolivia,556,SNV NETHERLANDS DEVELOPMENT OR,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SNV,Unknown Type of Agency,200688.51
216,Bolivia,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,9728.02
217,Bolivia,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,19833.32
218,Bolivia,11364,MDTFO\JP_MDG-F_Conflict_&_PB,MDTF1,BU,MDGF_CONFL,BCPR CONFLICT PREVENTION,41.64
219,Bolivia,11956,MDTFO/UNDP-JP Bolivia Indi Sup,MDTF1,BU,BOL JP,MDTFO/UNDP-JP Bolivia Indi Sup,201047.6
220,Bolivia,12056,FAMSI,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FAMSI-NGO,FAMSI,18106.25
221,Bosnia and Herzegovina,-,-,-,-,-,-,0
222,Bosnia and Herzegovina,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,139823.92
