key,OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses
1,Afghanistan,-,-,-,-,-,-,0
2,Afghanistan,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,0
3,Afghanistan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,477558.67
4,Afghanistan,44,GOVERNMENT OF AFGHANISTAN,AFG,Afghanistan,AFG_GOVT,Afghanistan Government,608577.11
5,Afghanistan,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,9066.11
6,Afghanistan,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,2604554.87
7,Afghanistan,105,"GOVERNMENT OF ESTONIA, REPUBLI",EST,Republic of Estonia,EST_GOVT,Republic of Estonia Government,189143.25
8,Afghanistan,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,84718.56
9,Afghanistan,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,2507854.17
10,Afghanistan,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,7719082.91
11,Afghanistan,131,GOVERNMENT OF INDIA,IND,India,IND_GOVT,India Government,6.25
12,Afghanistan,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,2046808.26
13,Afghanistan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,116117503
14,Afghanistan,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,15314508.45
15,Afghanistan,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,7995547.64
16,Afghanistan,204,GOVERNMENT OF REPUBLIC OF KORE,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,6827884.88
