Region Code Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses,Expenses
Africa,-,-,-,-,-,-,0.00%,-1382.14
Africa,3,INTERNATIONAL LABOUR ORGANIZAT,UN_AGY 1,UN AGENCY 1,ILO,AGY_INTERNATIONAL LABOUR ORGAN,0.00%,4141.24
Africa,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,0.00%,4768.72
Africa,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,0.00%,23808.2
Africa,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,0.00%,50679.6
Africa,8,WORLD METEOROLOGICAL ORGANIZAT,UN_AGY 1,UN AGENCY 1,WMO,AGY_WORLD METEOROLOGICAL ORGAN,0.00%,-21141.32
Africa,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0.30%,5497958.68
Africa,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,0.00%,30151.91
Africa,15,WORLD BANK (INT'L. BANK FOR RE,IFI_WB,IFI_WB,WB,WORLD BANK,0.00%,86377.09
Africa,17,AFRICAN DEVELOPMENT BANK,IFI_ADB,IFI_ADB,ADB,African Development Bank,0.00%,79809.46
Africa,24,INTERNATIONAL FINANCE CORPORAT,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IFC,INTERNATIONAL FINANCE CORP,0.00%,0
Africa,28,UN Office on Drugs and Crime,UN_AGY 1,UN AGENCY 1,UNODC,AGY_UN INTERNATIONAL DRUG CONT,0.01%,252174.26
Africa,29,INTERNATIONAL NON-GOVERNMENTAL,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NGO(INTL),PRIV_INTERNATIONAL NON-GOVERNM,0.00%,0
Africa,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,0.03%,641264.86
Africa,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,0.00%,66518.16
Africa,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0.02%,366482.84
Africa,36,INTERNATIONAL FUND FOR AGRICUL,UN_AGY 1,UN AGENCY 1,IFAD,AGY_NTERNATIONAL FUND FOR AGRI,0.00%,43690.12
Africa,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,0.00%,39521.66
Africa,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,0.00%,63
Africa,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,0.00%,12371.07
Africa,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,0.04%,657920.55
Africa,43,INTERNATIONAL ORGANIZATION FOR,UN_AGY 1,UN AGENCY 1,IOM,AGY_INTERNATIONAL ORGANIZATION,0.00%,922.9
Africa,49,GOVERNMENT OF ANGOLA,AGO,Angola,AGO_GOVT,Angola Government,0.01%,111297.02
Africa,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,0.00%,-284
Africa,56,GOVERNMENT OF AUSTRIA,AUT,Austria,AUT_GOVT,Austria Government,0.00%,-2038.88
Africa,60,GOVERNMENT OF BURUNDI,BDI,Burundi,BDI_GOVT,Burundi Government,0.00%,4008.2
Africa,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,0.03%,480584.43
Africa,62,GOVERNMENT OF BENIN,BEN,Benin,BEN_GOVT,Benin Government,0.12%,2140643.27
Africa,68,GOVERNMENT OF BURKINA FASO,BFA,Burkina Faso,BFA_GOVT,Burkina Faso Government,0.00%,2355.12
Africa,70,GOVERNMENT OF BOTSWANA,BWA,Botswana,BWA_GOVT,Botswana Government,0.06%,1149983.29
Africa,71,GOVERNMENT OF BRAZIL,BRA,Brazil,BRA_GOVT,Brazil Government,0.01%,106620.55
Africa,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,0.15%,2840838.37
Africa,81,GOVERNMENT OF CHAD,TCD,Chad,TCD_GOVT,Chad Government,-0.12%,-2260831.03
Africa,85,"GOVERNMENT OF CAMEROON, REPUBL",CMR,Republic of Cameroon,CMR_GOVT,Republic of Cameroon Governmen,0.00%,11244
Africa,86,GOVERNMENT OF COMOROS,COM,Comoros,COM_GOVT,Comoros Government,0.01%,97602.96
Africa,92,GOVERNMENT OF CAPE VERDE,CPV,Cape Verde,CPV_GOVT,Cape Verde Government,0.01%,92545.46
Africa,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,0.08%,1489032.95
Africa,103,GOVERNMENT OF EQUATORIAL GUINE,GNQ,Equatorial Guinea,GNQ_GOVT,Equatorial Guinea Government,0.05%,866187.45
Africa,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,0.10%,1824536.53
Africa,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,0.01%,274396.97
Africa,113,GOVERNMENT OF GABON,GAB,Gabon,GAB_GOVT,Gabon Government,0.05%,973532.96
Africa,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0.00%,43237.93
Africa,118,GOVERNMENT OF GHANA,GHA,Ghana,GHA_GOVT,Ghana Government,0.00%,0
Africa,119,GOVERNMENT OF GREECE,GRC,Greece,GRC_GOVT,Greece Government,0.00%,0
Africa,121,GOVERNMENT OF GUATEMALA,GTM,Guatemala,GTM_GOVT,Guatemala Government,0.00%,18.07
Africa,123,GOVERNMENT OF GUINEA,GIN,Guinea,GIN_GOVT,Guinea Government,0.03%,630097.55
Africa,134,GOVERNMENT OF IRELAND,IRL,Ireland,IRL_GOVT,Ireland Government,0.07%,1270360.83
