donor,abbrev,amount
Argentina,ARG,197867537
Peru,PER,86904326
Brazil,BRA,59836427
El Salvador,SLV,35181012
Venezuela,VEN,53160145
Lebanon,LBN,20878059
Colombia,COL,44175912
Egypt,EGY,47625252
Saudi Arabia,SAU,29573154
Paraguay,PRY,21705268
