project_id,fiscal_year,operating_unit,region,budget,expenditure,outcome,donor
00043535,2010,"Bolivia","Reg Bur Latin Amer & Carib",513500,509621.74,1,"UNDP"
00043535,2011,"Bolivia","Reg Bur Latin Amer & Carib",453671,453671.07,1,"UNDP"
00043537,2010,"South Sudan, Republic of","Reg Bureau for Africa",1894233.8,1566364.33,"","NOR,SIDA,EUCOMM,DFID,DEN,UNDP,NET,USA,DFAIT"
00043538,2011,"Guinea","Reg Bureau for Africa",36010,36010,10,"IFAD"
00043547,2010,"Pakistan","Reg Bureau for Asia & Pacific",196053,110613,0,"SWI,GER,TUR,UNISDR,DFID,NOR"
00043552,2010,"Kyrgyzstan","Reg Bur for Europe & CIS",855314,818747.08,17,"UNDP,WFP,DEN,EU"
00043552,2011,"Kyrgyzstan","Reg Bur for Europe & CIS",663444,660542.68,17,"EU,UNDP,WFP,DEN"
00043554,2010,"Turkmenistan","Reg Bur for Europe & CIS",46348.19,41034,1,"UNICEF,UNDP,UND,UNAIDS,MINHEALTH,NGO(INTL)"
00043554,2011,"Turkmenistan","Reg Bur for Europe & CIS",79386.37,73306.93,1,"UNDP,UND,UNAIDS,UNICEF,MINHEALTH,NGO(INTL)"
00043564,2010,"Jordan","Reg Bur for Arab States",38047,22913.65,1,"UNDP"
00043564,2011,"Jordan","Reg Bur for Arab States",20573,8575.83,1,"UNDP"
00043569,2010,"Mauritius","Reg Bureau for Africa",131961.73,112134.634,1,"MAR,UNESCO,UNDP"
00043569,2011,"Mauritius","Reg Bureau for Africa",122108,119690.26,1,"UNDP,UNESCO,MAR"
00043574,2011,"Reg Bur for Arab States","Reg Bur for Arab States",19200,19152,2,"UNDP"
00043575,2010,"Tajikistan","Reg Bur for Europe & CIS",230249.7,198194.69,7,"GFATM"
00043579,2010,"India","Reg Bureau for Asia & Pacific",12100,12100,11,"UNDP"
00043589,2010,"Costa Rica","Reg Bur Latin Amer & Carib",286746.23,285390.62,25,"GEFTrustee"
00043589,2011,"Costa Rica","Reg Bur Latin Amer & Carib",212262.08,211689.77,25,"GEFTrustee"
00043590,2011,"Maldives","Reg Bureau for Asia & Pacific",258000,77886.1,"","GEFTrustee"
00043593,2010,"Brazil","Reg Bur Latin Amer & Carib",1783368.4,1220489.03,11,"MS,BRA"
00043593,2011,"Brazil","Reg Bur Latin Amer & Carib",1089190.54,988130.18,11,"BRA,MS"
00043598,2010,"Belarus, Republic of","Reg Bur for Europe & CIS",0,6,3,"UNDP,GOVT"
00043603,2010,"Trinidad and Tobago","Reg Bur Latin Amer & Carib",4600,4544.06,1,"UNICEF,UNDP,TRI GOVT"
00043605,2010,"Uganda","Reg Bureau for Africa",135593,137495.69,19,"UNDP,NOR,IRE AID"
00043606,2010,"Libya","Reg Bur for Arab States",39697,10985.16,0,"Libya,NAID"
00043620,2010,"Central African Republic","Reg Bureau for Africa",0,38886.22,15,"UNDP,IRE"
00043620,2011,"Central African Republic","Reg Bureau for Africa",4669.82,4488.81,15,"IRE,UNDP"
00043623,2010,"Brazil","Reg Bur Latin Amer & Carib",59504.91,59364.59,11,"BRA"
00043623,2011,"Brazil","Reg Bur Latin Amer & Carib",623546.84,375779.89,11,"BRA"
00043627,2010,"Cook Islands","Reg Bureau for Asia & Pacific",100000,33872.7,"","GEFTrustee"
00043627,2011,"Cook Islands","Reg Bureau for Asia & Pacific",281745.03,91915.77,"","GEFTrustee"
00043630,2010,"Pakistan","Reg Bureau for Asia & Pacific",467302.53,388556.52,0,"GEFTrustee"
00043630,2011,"Pakistan","Reg Bureau for Asia & Pacific",613660.99,603444.89,0,"GEFTrustee"
00043640,2010,"Indonesia","Reg Bureau for Asia & Pacific",2234177.65,2210009.89,1,"UNDP(UNV),NET,UNDP,NZE,UNDP,NET,NET,NZE"
00043641,2010,"Indonesia","Reg Bureau for Asia & Pacific",2237600.51,2028098.4,13,"NOR,NOR,SIDA,NET,NET,NOR,UNDP,UNDP,SIDA,UNDP,NET,SIDA"
00043641,2011,"Indonesia","Reg Bureau for Asia & Pacific",389064.09,225862.05,14,"NET,UNDP,UNDP,NET,SIDA,NET,SIDA,NOR,NOR"
00043642,2010,"Mauritius","Reg Bureau for Africa",11764,11764,1,"UNDP"
00043645,2010,"Belarus, Republic of","Reg Bur for Europe & CIS",0,17.1,3,"UNDP,NFERLI"
00043649,2010,"Peru","Reg Bur Latin Amer & Carib",24173.75,24173.759,1,"UNDP,PER,PER-POZUZO,PER-MUN.CO,MVCS"
00043649,2011,"Peru","Reg Bur Latin Amer & Carib",120945.32,12383.36,1,"PER-POZUZO,PER,MVCS,UNDP,PER-MUN.CO"
00043652,2010,"Trinidad and Tobago","Reg Bur Latin Amer & Carib",0,0.01,23,"TRI-BPTT,TRI"
00043664,2010,"Venezuela","Reg Bur Latin Amer & Carib",68239.82,12.71,0,"VEN,UNDP"
00043670,2010,"Honduras","Reg Bur Latin Amer & Carib",1299392.79,1007775.707,11,"UNDP,MOFACSPAIN,UNDP,SIDA,UNICEF,SIDA,UNDP,UNDP,SIDA,UNICEF,HON,SIDA"
00043670,2011,"Honduras","Reg Bur Latin Amer & Carib",565894.9,470204.39,11,"UNICEF,SIDA,UNDP,UNICEF,SIDA,MOFACSPAIN,UNDP,HON,UNDP,SIDA"
00043682,2010,"Sudan, Republic of the","Reg Bur for Arab States",32044.49,147094.05,"","UNDP(JPAA),CAN,NET,UNDP,USAID,UNDP(JPAA)"
00043683,2010,"Algeria","Reg Bur for Arab States",685555.65,164582.95,17,"ALG,CAN,UNDP,SWE,BEL"
00043683,2011,"Algeria","Reg Bur for Arab States",148746.07,127842.58,17,"ALG,BEL,UNDP,CAN"
00043685,2010,"Indonesia","Reg Bureau for Asia & Pacific",1748543.92,1695503.21,22,"IDA-MDTFAN"
00043685,2011,"Indonesia","Reg Bureau for Asia & Pacific",415529.46,409269.67,19,"IDA-MDTFAN"
00043688,2011,"India","Reg Bureau for Asia & Pacific",0,1643.16,13,"UNDP,SWI"
00043690,2010,"Kenya","Reg Bureau for Africa",171000,234661.18,25,"THA,UNDP"
00043690,2011,"Kenya","Reg Bureau for Africa",160000,76773.66,25,"UNDP,THA"
00043699,2010,"Nauru","Reg Bureau for Asia & Pacific",82983.66,105020.33,"","GEFTrustee"
00043699,2011,"Nauru","Reg Bureau for Asia & Pacific",157259,156784.46,"","GEFTrustee"
00043716,2010,"United Republic of Tanzania","Reg Bureau for Africa",500000,517123.74,23,"GEFTrustee"
00043716,2011,"United Republic of Tanzania","Reg Bureau for Africa",1046459,426276.48,23,"GEFTrustee"
00043726,2010,"Namibia","Reg Bureau for Africa",2645000,2556035.05,23,"GEFTrustee,UNDP"
00043726,2011,"Namibia","Reg Bureau for Africa",1564448,1567324.4,23,"GEFTrustee,UNDP"
00043739,2010,"Iraq","Reg Bur for Arab States",1,108,9,"AECI"
00043745,2010,"Gabon","Reg Bureau for Africa",1409923.88,1309890.4,23,"GEFTrustee"
00043745,2011,"Gabon","Reg Bureau for Africa",2009332.01,1610291.82,23,"GEFTrustee"
00043751,2010,"Mauritania","Reg Bureau for Africa",0,44.13,11,"UNDP"
00043754,2010,"Iraq","Reg Bur for Arab States",1929293.34,322555.16,22,"AAUNDGTF"
00043754,2011,"Iraq","Reg Bur for Arab States",4160000,362781.16,22,"AAUNDGTF"
00043766,2010,"Liberia","Reg Bureau for Africa",1557824,1557790.57,21,"USA,EU"
00043766,2011,"Liberia","Reg Bureau for Africa",34,33.16,21,"USA,EU"
00043767,2010,"Viet Nam","Reg Bureau for Asia & Pacific",208978,208977.38,23,"GEFTrustee"
00043767,2011,"Viet Nam","Reg Bureau for Asia & Pacific",18956,11220.83,23,"GEFTrustee"
00043770,2010,"Honduras","Reg Bur Latin Amer & Carib",2977925.57,2869275.16,23,"GEFTrustee"
00043773,2010,"Burundi","Reg Bureau for Africa",3247853.92,3166522.85,1,"UNDP,WFP,POL,NOR,BEL,MOR,JPN,UNDP,BEL,DFID"
00043773,2011,"Burundi","Reg Bureau for Africa",4741588,4372852.2,1,"POL,WFP,NOR,BEL,UNDP,MOR,BEL,DFID,JPN,UNDP"
00043775,2010,"Sierra Leone","Reg Bureau for Africa",1615957.2,1562868.989,19,"JPN,UNDP"
00043775,2011,"Sierra Leone","Reg Bureau for Africa",44595,44126.55,"","JPN"
00043782,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",369881.67,324660.91,25,"SWI,GEFTrustee"
00043782,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",45220.75,29749.47,25,"GEFTrustee,SWI"
00043783,2010,"Panama","Reg Bur Latin Amer & Carib",3064740.26,2923084.86,23,"GOVT"
00043783,2011,"Panama","Reg Bur Latin Amer & Carib",1770258.3,1695956.15,23,"GOVT"
00043789,2011,"South Africa","Reg Bureau for Africa",29649,29648.85,11,"SAF"
00043790,2010,"Guatemala","Reg Bur Latin Amer & Carib",682900,635533,23,"GEFTrustee"
00043790,2011,"Guatemala","Reg Bur Latin Amer & Carib",494435.08,488980.07,23,"GEFTrustee"
00043791,2010,"Honduras","Reg Bur Latin Amer & Carib",556221.3,423110,23,"GEFTrustee"
00043791,2011,"Honduras","Reg Bur Latin Amer & Carib",648206.33,601253.45,23,"GEFTrustee"
00043793,2010,"Liberia","Reg Bureau for Africa",737065.31,58463.65,19,"USA,UKM,DFID,UKM,DFID"
00043796,2010,"Malaysia","Reg Bureau for Asia & Pacific",523970,413890.55,23,"GEFTrustee"
00043796,2011,"Malaysia","Reg Bureau for Asia & Pacific",673830,615340.96,23,"GEFTrustee"
00043797,2010,"Malaysia","Reg Bureau for Asia & Pacific",221445,221004.94,23,"GEFTrustee"
00043797,2011,"Malaysia","Reg Bureau for Asia & Pacific",177602.38,177459.93,23,"GEFTrustee"
00043800,2010,"Indonesia","Reg Bureau for Asia & Pacific",492368,429042.83,25,"UNDP,GEFTrustee"
00043800,2011,"Indonesia","Reg Bureau for Asia & Pacific",87586.58,40974.04,25,"UNDP,GEFTrustee"
00043802,2010,"China","Reg Bureau for Asia & Pacific",1806868,1788807.15,23,"UNDP,GEFTrustee"
00043802,2011,"China","Reg Bureau for Asia & Pacific",936316,925801.34,23,"UNDP,GEFTrustee"
00043806,2010,"Saudi Arabia","Reg Bur for Arab States",143897.2,143865,23,"GEFTrustee"
00043810,2011,"India","Reg Bureau for Asia & Pacific",850950,377704.18,23,"GEFTrustee"
00043815,2010,"Jamaica","Reg Bur Latin Amer & Carib",1261146.56,893764.44,13,"CIDA,DFID,SWE,UNDP,SWI,SWI,UNDP,GER,SWE,SWE,SWE,UNDP,USAID,UNDP,SWE,DFID,DFID,SWI,SWE,SWE,UNDP,ANT,SWE,UNDP,UNDP,JAM,SWE,DFID"
00043815,2011,"Jamaica","Reg Bur Latin Amer & Carib",458269.56,385414.3,13,"DFID,USAID,SWE,JAM,SWI,DFID,DFID,SWE,SWE,UNDP,ANT,UNDP,UNDP,UNDP,UNDP,CIDA,DFID,UNDP,GER,SWI,UNDP,SWI"
00043819,2010,"Mauritius","Reg Bureau for Africa",13975,13930.42,1,"MIRCOSOFT,UNDP"
00043819,2011,"Mauritius","Reg Bureau for Africa",49322,36476.08,1,"MIRCOSOFT,UNDP"
00043821,2010,"South Sudan, Republic of","Reg Bureau for Africa",1204442.26,465231.72,"","DFID,DFAIT,NET,EUCOMM,UNDP,IDA"
00043823,2010,"Liberia","Reg Bureau for Africa",3626221.94,2973529.88,11,"LIR,NOR,OSI,UNDP,UND"
00043823,2011,"Liberia","Reg Bureau for Africa",1362099.71,666896.46,11,"UNDP,UND,LIR,OSI"
00043826,2010,"Chile","Reg Bur Latin Amer & Carib",637205.85,621810.72,23,"GEFTrustee"
00043826,2011,"Chile","Reg Bur Latin Amer & Carib",932128.54,910012.79,23,"GEFTrustee"
00043827,2010,"Cuba","Reg Bur Latin Amer & Carib",736363.4,725214.27,23,"GEFTrustee"
00043827,2011,"Cuba","Reg Bur Latin Amer & Carib",776142.98,706334.32,23,"GEFTrustee"
00043828,2010,"Jordan","Reg Bur for Arab States",50105,34689.05,23,"GEFTrustee"
00043828,2011,"Jordan","Reg Bur for Arab States",523649,463151.25,23,"GEFTrustee"
00043829,2010,"Argentina","Reg Bur Latin Amer & Carib",900000,471056.48,25,"FUNTEC,GOB,GEFTrustee,UNJSPF,UNDP"
00043829,2011,"Argentina","Reg Bur Latin Amer & Carib",762844,762842.75,25,"UNDP,GEFTrustee,UNJSPF"
00043841,2010,"Kosovo","Reg Bur for Europe & CIS",1075.11,1075.11,11,"OSCE,NET"
00043844,2010,"El Salvador","Reg Bur Latin Amer & Carib",209021.57,209021.57,17,"GEFTrustee"
00043844,2011,"El Salvador","Reg Bur Latin Amer & Carib",73725.45,14282.95,25,"GEFTrustee"
00043861,2010,"Sudan, Republic of the","Reg Bur for Arab States",1038485.44,639596.9,"","NOR,DFID,NET,DFID,SIDA,UNDP,NET,NOR,UNDP,SIDA"
00043861,2011,"Sudan, Republic of the","Reg Bur for Arab States",500226,189420.9,"","SIDA,NOR,DFID,NET,UNDP"
00043862,2010,"Niger","Reg Bureau for Africa",292500,238015.32,12,"UNDP,SPA"
00043862,2011,"Niger","Reg Bureau for Africa",347387,166792.81,12,"UNDP"
00043880,2010,"Chad","Reg Bureau for Africa",646659,673590.66,7,"UNDP"
00043880,2011,"Chad","Reg Bureau for Africa",691493.7,595125.35,7,"UNDP"
00043885,2010,"Uganda","Reg Bureau for Africa",721521,667590.45,25,"GEFTrustee"
00043885,2011,"Uganda","Reg Bureau for Africa",963087,685082,31,"GEFTrustee"
00043887,2010,"Guyana","Reg Bur Latin Amer & Carib",30000,23746.52,1,"UNDP"
00043887,2011,"Guyana","Reg Bur Latin Amer & Carib",57967,45282.92,1,"UNDP"
00043891,2010,"Burkina Faso","Reg Bureau for Africa",1272974,1162497.5,25,"UNDP,GEFTrustee"
00043891,2011,"Burkina Faso","Reg Bureau for Africa",1335180,1402276.35,25,"UNDP,GEFTrustee"
00043897,2010,"Macedonia, former Yugoslav Rep","Reg Bur for Europe & CIS",281197.91,275797.82,0,"GEFTrustee"
00043897,2011,"Macedonia, former Yugoslav Rep","Reg Bur for Europe & CIS",178645,177747,0,"GEFTrustee"
00043900,2010,"China","Reg Bureau for Asia & Pacific",0,376.53,23,"PRIVSECT"
00043901,2010,"China","Reg Bureau for Asia & Pacific",225270.7,221858.77,23,"NOR,UNDP,CPR,PRIVSECT"
00043904,2010,"Liberia","Reg Bureau for Africa",30511,30511.459,21,"DEN,UNDP"
00043905,2010,"Ghana","Reg Bureau for Africa",84203,83559.15,11,"UNDP,DFID"
00043909,2010,"Guinea","Reg Bureau for Africa",140000,135299.18,1,"UNDP"
00043930,2010,"Ghana","Reg Bureau for Africa",478268.5,468628.62,3,"UNDP"
00043936,2010,"China","Reg Bureau for Asia & Pacific",2545000,2445997.27,1,"CPR,UNDP"
00043936,2011,"China","Reg Bureau for Asia & Pacific",3646344,2741933.78,1,"UNDP,CPR,CPR,UNDP"
00043946,2010,"Jordan","Reg Bur for Arab States",10135.44,10135.44,17,"JOR,DDC,UNDP"
00043947,2010,"Afghanistan","Reg Bureau for Asia & Pacific",14129461.92,12622207.53,9,"SDC,NOR,ITA,EU,UNDP,CIDA,NET"
00043947,2011,"Afghanistan","Reg Bureau for Asia & Pacific",300000,97620.02,9,"SDC,UNDP,EU,CIDA,NOR,ITA,NET"
00043956,2010,"Pakistan","Reg Bureau for Asia & Pacific",514000,506615.99,20,"EU,UNDP"
00043959,2010,"Democratic Republic of Congo","Reg Bureau for Africa",3140037.43,3594821.918,1,"UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDESA,UNDP,GFATM,UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),SIDA,UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA)"
00043959,2011,"Democratic Republic of Congo","Reg Bureau for Africa",2690899.81,2331965.6,1,"SIDA,UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDESA,UNDP,GFATM,UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA),UNDP(JPAA)"
00043964,2010,"Dominican Republic","Reg Bur Latin Amer & Carib",41147,7286.88,"","FAO,UNFPA,UNICEF,UNAIDS,UNDP,WFP,UNDSS"
00043967,2010,"Honduras","Reg Bur Latin Amer & Carib",9102,5079.35,17,"UNDP"
00043967,2011,"Honduras","Reg Bur Latin Amer & Carib",0,34.76,17,"UNDP"
00043969,2010,"Peru","Reg Bur Latin Amer & Carib",4657.39,4656.1,11,"UNDP,UN"
00043973,2010,"Indonesia","Reg Bureau for Asia & Pacific",292098,273159.15,1,"UNDP,INS,UNDP,UNDP,IDA-MDTFAN,UNDP,IDA-DSF,UNDP,IDA-DSF"
00043973,2011,"Indonesia","Reg Bureau for Asia & Pacific",135500,134680.01,1,"UNDP,IDA-DSF,INS"
00043997,2010,"Croatia","Reg Bur for Europe & CIS",490567.65,393103.3,19,"QUNO,OSCE,Osijek,SWE,USA,NET,UNDP,SPA,SAS,UNDP,UNDP"
00043997,2011,"Croatia","Reg Bur for Europe & CIS",536617.57,429784.48,19,"SAS,UNDP,SPA,OSCE,SWE,Osijek,NET,QUNO,USA,UNDP,UNDP"
00043998,2010,"Argentina","Reg Bur Latin Amer & Carib",991,989.63,"","GOB,UNDP"
00044005,2010,"Madagascar","Reg Bureau for Africa",905.52,20069.58,0,"UNDP,SWI"
00044007,2010,"Kazakhstan","Reg Bur for Europe & CIS",692123,690659.66,25,"GEFTrustee,BRITISH EM"
00044007,2011,"Kazakhstan","Reg Bur for Europe & CIS",484666,467805.18,25,"GEFTrustee,BRITISH EM"
00044016,2010,"Côte d’Ivoire","Reg Bureau for Africa",200000,153593.24,11,"IVC,UNDP,ITA"
00044016,2011,"Côte d’Ivoire","Reg Bureau for Africa",50000,30017.35,11,"ITA,UNDP,IVC"
00044017,2010,"Senegal","Reg Bureau for Africa",684398,547586.31,1,"UNDP"
00044017,2011,"Senegal","Reg Bureau for Africa",673673.67,589203.36,1,"UNDP"
00044020,2010,"Argentina","Reg Bur Latin Amer & Carib",3929.41,2964.02,"","UNDP,GOB"
00044021,2010,"Guatemala","Reg Bur Latin Amer & Carib",2095848.77,2095848.77,23,"GEFTrustee"
00044021,2011,"Guatemala","Reg Bur Latin Amer & Carib",1358847.62,1051230.38,23,"GEFTrustee"
00044022,2010,"Venezuela","Reg Bur Latin Amer & Carib",853531,22700.65,0,"GEFTrustee"
00044022,2011,"Venezuela","Reg Bur Latin Amer & Carib",810745.2,168282.09,0,"GEFTrustee"
00044043,2010,"Gabon","Reg Bureau for Africa",20500,20537.75,1,"GAB,NET,UNDP"
00044043,2011,"Gabon","Reg Bureau for Africa",96500,86952.14,1,"GAB,NET,UNDP"
00044057,2010,"Morocco","Reg Bur for Arab States",349438.88,278168.48,"","MOR"
00044058,2010,"Chad","Reg Bureau for Africa",1279000,870006.78,1,"UNDP"
00044058,2011,"Chad","Reg Bureau for Africa",495000,272094.65,1,"UNDP"
00044065,2010,"Kenya","Reg Bureau for Africa",137603,86560.82,25,"UNDP,GEFTrustee"
00044065,2011,"Kenya","Reg Bureau for Africa",52336.68,53116.27,25,"UNDP,GEFTrustee"
00044066,2010,"Saudi Arabia","Reg Bur for Arab States",1050000,882592.1,11,"SAU"
00044066,2011,"Saudi Arabia","Reg Bur for Arab States",1450000,1320494.2,11,"SAU"
00044069,2010,"Ghana","Reg Bureau for Africa",496198.87,485163.49,3,"UNDP"
00044069,2011,"Ghana","Reg Bureau for Africa",837291.9,791798.78,3,"UNDP"
00044072,2010,"Burkina Faso","Reg Bureau for Africa",220936,104810.02,15,"UNDP,SWE"
00044072,2011,"Burkina Faso","Reg Bureau for Africa",0,46069.14,11,"UNDP"
00044076,2010,"Guatemala","Reg Bur Latin Amer & Carib",300866.98,300866.981,"","USAID,GUA,UNDP,UND,USAID"
00044097,2010,"Turkmenistan","Reg Bur for Europe & CIS",337044.85,205895.85,23,"Dragon Oil,UNDP,GEFTrustee"
00044097,2011,"Turkmenistan","Reg Bur for Europe & CIS",67182.01,36247.96,23,"GEFTrustee,Dragon Oil"
00044098,2010,"Pakistan","Reg Bureau for Asia & Pacific",30766,30760.14,1,"UNDP"
00044109,2010,"Uganda","Reg Bureau for Africa",0,43.27,"","UNDP"
00044111,2010,"Niger","Reg Bureau for Africa",799854,550959.89,25,"UNDP,GEFTrustee,NER"
00044111,2011,"Niger","Reg Bureau for Africa",651301,611781.36,25,"NER,UNDP,GEFTrustee"
00044114,2010,"Argentina","Reg Bur Latin Amer & Carib",203339,181598.61,10,"UNDP,GOB"
00044114,2011,"Argentina","Reg Bur Latin Amer & Carib",18437,18392.18,10,"GOB,UNDP"
00044116,2010,"Tajikistan","Reg Bur for Europe & CIS",246730,231257.31,23,"UNDP,GEFTrustee"
00044116,2011,"Tajikistan","Reg Bur for Europe & CIS",216383.48,216318.71,23,"GEFTrustee,UNDP"
00044117,2010,"Ghana","Reg Bureau for Africa",1033832,976257.61,1,"DFID,UNIDO,UNDP"
00044117,2011,"Ghana","Reg Bureau for Africa",1400000,1392087.43,1,"DFID,UNDP"
00044118,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",528779.3,515820.087,6,"AUS,IRE,GFATM,AUSTRIANAI,CARE,UNESCO,UNFPA,NOR,UNAIDS,Addie Gutt,Asia Socie,ECHM,UNDP"
00044119,2010,"Costa Rica","Reg Bur Latin Amer & Carib",249.86,249.11,8,"DAD/UN-LIR"
00044131,2010,"Albania","Reg Bur for Europe & CIS",469043.86,380062.95,1,"UNDP(JPAA),ALB"
00044131,2011,"Albania","Reg Bur for Europe & CIS",238980.91,210359.32,1,"UNDP(JPAA)"
00044132,2010,"Sudan, Republic of the","Reg Bur for Arab States",330263.72,255031.52,"","UNDP(JPAA),DFID,UNDP"
00044132,2011,"Sudan, Republic of the","Reg Bur for Arab States",307148,32320.76,"","UNDP,UNDP(JPAA),DFID"
00044133,2010,"Bratislava Regional Center","Reg Bur for Europe & CIS",650262.72,631926.57,3,"MOLDCELL,UNDP,BEL,BEL,BEL,UNDP,BEL,BEL,UNDP,BEL,UNDP"
00044133,2011,"Bratislava Regional Center","Reg Bur for Europe & CIS",12844.31,12885.31,"","MOLDCELL,UNDP,BEL,BEL,BEL,BEL,BEL,UNDP"
00044135,2010,"Gabon","Reg Bureau for Africa",42932,27418.046,7,"UNDP,GFATM,GAB"
00044135,2011,"Gabon","Reg Bureau for Africa",137356,59726.72,7,"GFATM,UNDP,GAB"
00044155,2010,"Cameroon, Republic of","Reg Bureau for Africa",68000,61741.1,"","UNDP"
00044155,2011,"Cameroon, Republic of","Reg Bureau for Africa",0,468.01,0,"UNDP"
00044162,2010,"Papua New Guinea","Reg Bureau for Asia & Pacific",0,769.77,"","UNDP,AUL"
00044162,2011,"Papua New Guinea","Reg Bureau for Asia & Pacific",0,5008.98,"","AUL,UNDP"
00044167,2010,"Bulgaria","Reg Bur for Europe & CIS",94733.6,94733.56,23,"GEFTrustee"
00044168,2010,"Belarus, Republic of","Reg Bur for Europe & CIS",0,4482.74,0,"UNDP,SWI,EUCOMM,SDC,LAT"
00044180,2010,"Argentina","Reg Bur Latin Amer & Carib",263,205.99,"","UNDP,GOB"
00044181,2010,"Equatorial Guinea","Reg Bureau for Africa",236100,142938.55,25,"GEFTrustee,UNDP"
00044181,2011,"Equatorial Guinea","Reg Bureau for Africa",243100,134917.76,25,"GEFTrustee,UNDP"
00044183,2010,"Cuba","Reg Bur Latin Amer & Carib",181369.15,181369.15,11,"UNDP,CUB-ZCUERO,CREMONA,DIPBARCELO,CU-CICBATA,CUB-MALAGA,BEAZ,DIAKONIA S,CUB-PAVIA,ONG TOTAL,San Sebast,CUB-UGRANA,CUB-EUSKAD,AYBILBAO,ITA,FOLIGNO DE,VIAREGGIO,CUB-IEPALA,CUBACOOP,CECINA DEC,FLORENCIA,CUB-EUSKAL,CUB-ZARAG,CUB-AYPRAT,CUB-ROSALU"
00044183,2011,"Cuba","Reg Bur Latin Amer & Carib",96642.52,80292.74,11,"FLORENCIA,CUB-ROSALU,UNDP,CUBACOOP,CUB-MALAGA,CUB-EUSKAD,AYBILBAO,ITA,CUB-IEPALA,CUB-EUSKAL,CUB-ZARAG,CUB-AYPRAT,VIAREGGIO,CUB-UGRANA,CUB-ZCUERO,FOLIGNO DE,BEAZ,DIAKONIA S,CUB-PAVIA,ONG TOTAL,San Sebast,CREMONA,CECINA DEC,DIPBARCELO,CU-CICBATA"
00044185,2010,"Sri Lanka","Reg Bureau for Asia & Pacific",147724.65,116647.07,1,"GEFTrustee"
00044185,2011,"Sri Lanka","Reg Bureau for Asia & Pacific",31077.46,12745.61,1,"GEFTrustee"
00044192,2011,"Afghanistan","Reg Bureau for Asia & Pacific",231716,204662.66,3,"ITA,NET,CIDA,DFID,NOR,UKM"
00044193,2010,"Macedonia, former Yugoslav Rep","Reg Bur for Europe & CIS",544852.16,480199.37,11,"NOR,UNDP,MCD"
00044193,2011,"Macedonia, former Yugoslav Rep","Reg Bur for Europe & CIS",146074.7,144119.52,11,"NOR,UNDP,MCD"
00044195,2010,"Chile","Reg Bur Latin Amer & Carib",13803,13998.81,23,"NET,UNDP"
00044196,2010,"Liberia","Reg Bureau for Africa",177359,166752.83,23,"UNDP,GEFTrustee"
00044196,2011,"Liberia","Reg Bureau for Africa",267945.31,151579.79,23,"UNDP,GEFTrustee"
00044198,2010,"Mali","Reg Bureau for Africa",18161410,12312630.589,"","MP,UNDP,EARTH INST,UN,MP,UNDP,UND,UNAIDS,EARTH INST,UNDP,UND,UNDP,UND,MP,UND,MP,EARTH INST,UND,MP,UN,UNDP,UNAIDS,UNDP,UND,UNDP,UND,MP,MP,MP,UNDP,CNTI,MLI,UND,MP,UNDP,UND,MP"
00044198,2011,"Mali","Reg Bureau for Africa",5045394.18,4171707.84,"","MLI,UND,MP,MP,UNDP,UN,MP,UNDP,MP,UNDP,UND,UNAIDS,EARTH INST,EARTH INST,UNDP,UND,UND,MP,UND,UNDP,MP,UND,MP,CNTI,UND,MP,UNDP,UN,UNDP,MP,UNDP,UNAIDS,UND,MP,UNDP,UND,EARTH INST"
00044201,2010,"Prog for Palestinian People","Prog for Palestinian People",7912982.66,7912954.626,3,"UNDP,ISDB,ISDB,ISDB,ISDB,ISDB,ISDB,AFESD,ISDB"
00044201,2011,"Prog for Palestinian People","Prog for Palestinian People",12745972.29,9935556.94,3,"ISDB,ISDB,AFESD,JPN,ISDB,ISDB,UNDP,NZE"
00044204,2011,"Honduras","Reg Bur Latin Amer & Carib",0,1.89,17,"UNDP,JPN"
00044205,2010,"Guatemala","Reg Bur Latin Amer & Carib",259654.34,69886.84,"","UNDP,OTROS,UNDESA,UND"
00044205,2011,"Guatemala","Reg Bur Latin Amer & Carib",307802.27,132145.88,"","OTROS,UNDESA,UNDP,UND"
