
"",330
"GOVERNMENT OF NAMIBIA",4
"GOVERNMENT OF NAURU",4
"GOVERNMENT OF NETHERLANDS",82
"GOVERNMENT OF NETHERLANDS ANTILLES",4
"GOVERNMENT OF NEW ZEALAND",4
"GOVERNMENT OF NICARAGUA",4
"GOVERNMENT OF NIUE",4
"GOVERNMENT OF NORWAY",220
"GOVERNMENT OF PANAMA",75
"GOVERNMENT OF PAPUA NEW GUINEA",50
"GOVERNMENT OF PARAGUAY",14
"GOVERNMENT OF PERU",52
"GOVERNMENT OF POLAND",4
"GOVERNMENT OF QATAR",1
"GOVERNMENT OF REPUBLIC OF KOREA",8
"GOVERNMENT OF ROMANIA",29
"GOVERNMENT OF RUSSIAN FEDERATION",1
"GOVERNMENT OF SAINT KITTS AND NEVIS",12
"GOVERNMENT OF SAINT LUCIA",4
"GOVERNMENT OF SAINT VINCENT AND THE GREN",12
"GOVERNMENT OF SAUDI ARABIA",43
"GOVERNMENT OF SEYCHELLES",4
"GOVERNMENT OF SLOVAK REPUBLIC",4
"GOVERNMENT OF SOMALIA",1
"GOVERNMENT OF SOUTH AFRICA",14
"GOVERNMENT OF SPAIN",324
"GOVERNMENT OF SRI LANKA",1
"GOVERNMENT OF SURINAME",10
"GOVERNMENT OF SWAZILAND",4
"GOVERNMENT OF SWEDEN",48
"GOVERNMENT OF SWITZERLAND",35
"GOVERNMENT OF SYRIAN ARAB REPUBLIC",57
"GOVERNMENT OF THAILAND",4
"GOVERNMENT OF THE REPUBLIC OF THE SUDAN",12
"GOVERNMENT OF TOGO",4
"GOVERNMENT OF TRINIDAD AND TOBAGO",9
"GOVERNMENT OF TUNISIA",1
"GOVERNMENT OF TURKEY",40
"GOVERNMENT OF UKRAINE",1
"GOVERNMENT OF UNITED ARAB EMIRATES",2
"GOVERNMENT OF UNITED KINGDOM",34
"GOVERNMENT OF UNITED STATES OF AMERICA",29
"GOVERNMENT OF VENEZUELA",18
"Global Environment Fund Trustee",2092
"Government of Montenegro",6
"HEGOA - DESCENTRALIZED COOPETATION COMM",4
"HON-GOBIERNO DE HONDURAS",3
"HON-SECRETARIA DE AGRICULTURA",13
"ICELAND - MIN. FOREIGN AFFAIRS",4
"IDA-MULTI-DONOR TF ACEH & N SUMATRA",11
"IMPERIAL COLLEGE LONDON",4
"INSTITUTO DE LU DURANGUENSE",1
"INTEN MUNICIPAL DE CANELONES",4
"INTER-AMERICAN DEVELOPMENT BANK",18
"INTERCHURCH ORG FOR DEVELOPMENT CO-OP",1
"INTERNATIONAL DEVELOPMENT ASSOCIATION",1
"INTERNATIONAL DEVELOPMENT RESEARCH CENTR",3
"INTERNATIONAL FINANCE CORPORATION",4
"INTERNATIONAL FUND FOR AGRICULTURAL DEVE",19
"IRISH AID",1
"ISLAMIC DEVELOPMENT BANK",1
"Italian Min. for Foreign Affairs",4
"JAPAN BANK FOR INTL COOP:UNCDF",1
"Japanese international Cooperation Agenc",4
"KEMCO",1
"KOREA INTERN. COOPERATION AGENCY",4
"KOSOVO GOVERNMENT",8
"Khalifa bn Zayed Al Nehayan Found",1
"LEB-COUNCIL FOR DEVELOPMENT &",12
"LEB-MINISTRY OF ENVIRONMENT",4
"LEB-PRIME MINISTER OFFICE",1
"LEBANON RECOVERY FUND",25
"LIT-GOVERNMENT OF LITHUANIA",29
"LUGHANSK MUNCIPALITY",4
"LUX DEVELOPMENT",1
"MAG-UNITED STATES AGENCY",1
"MARIA SHARAPOVA FOUNDATION",4
"MDTFO/JP-Montengro_UN__Cty_Fund",9
"MDTFO/JP-_Kosovo_Dom_Violence",1
"MDTFO/JP_FM_Eliminate_Violence",4
"MDTFO/JP_Sierra_Leone_MDTF",13
"MDTFO/JP_UNDG_HAITI_RECONSTRUCT",1
"MDTFO/JP_UN_Country_Fund_BTN",4
"MDTFOJP_Central_Fund_Influenz",17
"MDTFOJP_MDG-F_Conflict_&_PB",4
"MDTFOJP_Peace_Building_Fund",13
"MEX-INSTITUTO FEDERAL ELECTORA",5
"MEX-INSTITUTO NACIONAL DE LAS",8
"MEX-SECRETARIA DE DESARROLLO S",4
"MEX-SECRETARIA DE ECONOMIA",9
"MEX-SECRETARIA DE MEDIO AMBIEN",8
"MEX-TRIBUNAL ELECTORAL DEL POD",5
"MILLENNIUM PROMISE ALLIANCE, INC.",8
"MIN. OF FOREIGN AFFAIRS & COOPERATION",100
"MINISTERIO DE LA PRODUCCION",1
"MINISTRY OF COMMERCE, CHINA",4
"MINISTRY OF EDUCATION",8
"MINISTRY OF FOREIGN AFFAIRS",17
"MINISTRY OF HEALTH - TURKEY",4
"MINISTRY OF INVESTMENT - EGYPT",8
"MINISTRY OF LOCAL GOVERNMENT",8
"MINISTRY OF SOCIAL AFFAIRS AND LABOUR",1
"MINISTRY OF SOCIAL SOLIDARITY",4
"MONTREAL PROTOCOL",324
"MTN Ghana Foundation",4
"MUNICIPO DE QUITO (DONOR)",4
"Mariene Informative Service BV",1
"Metropolitan Waterworks Authority",1
"Ministry of Finance Slovak Rep",4
"Ministry of Finance of the Republic of",4
"Ministry of Labour  slovak Rep",4
"Municipality of Cetinje",1
"NATO",4
"NEW ZEALAND AGY FOR INT'L DEVELOPMENT",4
"NEW ZEALAND AID",8
"NIC-UNION EUROPEA",1
"NON-GOVERNMENTAL ORGANIZATION",5
"NORWAY NATIONAL COMMITTEE",1
"NORWEGIAN AG  DEV COOP:UNCDF",1
"NORWEGIAN EMBASSY",1
"National Telecom Regulatory Authority",8
"OPEN SOCIETY INSTITUTE",12
"ORG FOR SECURITY AND COOPERATION IN EUR",4
"ORG.ECONOMIC CO-OPERATION AND DEVELOPMEN",12
"PAKISTAN WATER PARTNERSHIP",4
"PAN-GOVT",23
"PAR-GOBIERNO DEL PARAGUAY",50
"PER-AGENCIA DE PROMOCION DE LA",4
"PER-AGENCIA SUIZA PARA EL DESARROLLO Y L",4
"PER-APCI",2
"PER-COFIDE",4
"PER-DEFENSORIA DEL PUEBLO",8
"PER-GOB REGIONAL JUNIN",1
"PER-GOB.REGIONAL AREQUIPA",4
"PER-GOB.REGIONAL LA LIBERTAD",16
"PER-GOBIERNO REGIONAL TUMBES",4
"PER-GOVERNMENT",16
"PER-HOLANDA",4
"PER-INSTITUTO NACIONAL PENITEN",1
"PER-JAPON",1
"PER-MINISTERIO DE   RELACIONES",5
"PER-MINISTERIO DE AGRICULTURA",13
"PER-MINISTERIO DE DEFENSA",4
"PER-MINISTERIO DE EDUCACION",6
"PER-MINISTERIO DE ENERGIA Y MI",8
"PER-MINISTERIO DE JUSTICIA",8
"PER-MINISTERIO DE LA MUJER Y D",4
"PER-MINISTERIO DE TRABAJO Y PR",1
"PER-MINISTERIO DE VIVIENDA CON",4
"PER-MINISTERIO TRANSPORTES Y C",1
"PER-PRESIDENCIA DEL CONSEJO DE",33
"PER-PROMOCION DE IMAGEN DEL PE",4
"PEREZ-GUERRERO TRUST FUND",3
"POL-UNAIDS",35
"PRIVATE SECTOR",12
"RAOUL WALLENBERG INSTITUTE",1
"Russian Healthcare Foundation",1
"SAUDI COMMITEE FOR PP RELIEF",1
"SEC GRAL SIST INTEGRACION CA",1
"SEDEFRSUR Chiapas",4
"SEP",5
"SERPNAM",1
"SERVICIO NACIONAL DE LA MUJER",1
"SHELL DE VENEZUELA S.A.",4
"SNV NETHERLANDS DEVELOPMENT ORGANISATION",6
"SPAIN MDG FUND",60
"STOCKHOLM INT'L WATER INSTITUTE",4
"SWEDEN NATIONAL COMMITTEE",1
"SWEDISH CHEMICALS INSPECTORATE",3
"SWEDISH INT'L DEVELOPMENT COOPERATION",94
"SWISS AGENCY FOR DEVELOPMENT AND  COOP.",4
"SWISS AGY FOR DEVELOPMENT & COOPERATION",13
"SYR MINISTRY OF INFORMATION",8
"SYR MINISTRY OF LOCAL ADMINISTRATION&ENV",5
"SYR MINISTRY OF TECHNOLOGY&COMMUNICATI",5
"SYRIA NATIONAL POST AUTHORITY",1
"TAKSVARKKI RY - ODW FINLAND",4
"TOTAL E & P SYRIE",4
"TTO MINISTRY OF NATIONAL SECURITY",1
"TUK-BRITISH EMBASSY IN TURKMEN",4
"TUR-PRIVATE SECTOR",34
"TUR-THE UNION OF CHAMBERS AND COMMODITY",4
"TUSCANY REGION",1
"The Japan Women in Development Fund",2
"The Royal Norwegian Embassy in Astana",1
"UAE-Abu Dhabi-Department of Economic Dev",5
"UN CENTRE FOR HUMAN SETTLEMENTS",5
"UN DEMOCRACY FUND (UNDEF)",77
"UN DEPT OF ECONOMIC AND SOCIAL AFFAIRS",10
"UN FRAMEWORK CONVENTION ON CLIMATE CHANG",4
"UN High Com'r Human Rights",2
"UN INSITUTION FOR TRAINING AND RESEARCH",1
"UN Office in Geneva",1
"UN RELIEF AND WORKS AGENCY",1
"UN Women",16
"UNAIDS",36
"UNDP AS AA FOR JP PASS THROUGH",233
"UNDP LIBERIA:UNCDF ONLY",8
"UNFIP TURNER FOUNDATION",2
"UNISDR",6
"UNITED NATIONS",92
"UNITED NATIONS CAPITAL DEVELOPMENT FUND",1
"UNITED NATIONS CHILDREN'S FUND",12
"UNITED NATIONS DEVELOPMENT PROGRAMME",8236
"UNITED NATIONS ENVIRONMENT PROGRAMME",51
"UNITED NATIONS FOUNDATION",10
"UNITED NATIONS FUND FOR DRUG ABUSE CONTR",1
"UNITED NATIONS POPULATION FUND",8
"UNITED NATIONS VOLUNTEERS",23
"UNOCHA",23
"UNOCHA/Central_Emg_Resp_Fund",2
"UNOPS - EIF Trust Fund manager",1
"URU-DIRECCION NACIONAL DE AVIA",1
"URU-GOBIERNO DEL URUGUAY",8
"URU-INSTITUTO NACIONAL DE ESTA",2
"URU-MIN DE TRABAJO Y SEG SOCIAL",8
"URU-MIN DESARROLLO SOCIAL",13
"URU-MINISTERIO DE VIVIENDA, OR",29
"URU-OFICINA DE PLANEAMIENTO Y",25
"URU-UNIDAD REGULADORA DE SERVI",4
"US Department of State",2
"USAID",54
"VEN-GOBIERNO DE VENEZUELA",2
"VEN-MINISTERIO DEL TRABAJO",4
"VEN-PETROLEOS DE VENEZUELA, S.",1
