awardID,lat,lon,precision,type,scope
00034997,34.52018,69.17997,1,1,1
00039048,33,66,9,2,3
00040456,34.5,69.41667,4,2,2
00040456,36.75,72,4,2,2
00040456,34.33333,70.41667,4,2,2
00040456,32.83333,66,4,2,2
00040456,32.5,62.5,4,2,2
00040456,34,65,4,2,2
00040456,31,64,4,2,2
00040456,31,65.75,4,2,2
00040864,34.52813,69.17233,3,2,3
00041283,34.52813,69.17233,3,2,3
00043217,33,66,9,2,3
00043947,33,66,9,2,3
00044487,33,66,9,2,3
00045444,33,66,9,2,3
00045877,34.5193064,69.1333457,1,1,4
00045877,34.360496,62.2051279,1,1,4
00045877,36.75,67,1,1,4
00045877,34.5,62,1,1,4
00045877,34.5,69.41667,1,1,4
00045877,34.33333,70.41667,1,1,4
00045877,34.75,67.25,1,1,4
00047111,34.5,69.41667,4,2,3
00049760,33,66,9,2,3
00050535,36.75,72,4,2,3
00050535,35,63.75,4,2,3
00050535,34.75,67.25,4,2,3
00050535,34.5,62,4,2,3
00050535,36.25,64.83333,4,2,3
00050535,36.66667,69.75,4,2,3
00050535,36.75,68.75,4,2,3
00057359,33,66,9,2,3
00057520,34.0708,66.29611,3,2,3
00057520,33.76518,66.07954,3,2,3
00057520,33.4227,66.2826,3,2,3
00057520,34.76295,67.41497,3,2,3
00057520,34.57094,65.74783,3,2,3
00057520,34.13456,64.99616,3,2,3
00057520,35.17889,63.09061,3,2,3
00057520,34.81797,63.58681,3,2,3
00057520,34.92485,62.90346,3,2,3
00057520,34.45431,68.90047,3,2,3
00057520,36.21544,65.93249,3,2,3
00057520,35.84367,66.33752,3,2,3
00057520,36.08563,66.5173,3,2,3
00057520,36.02579,66.23444,3,2,3
00057520,34.98735,63.12891,3,2,3
00057520,35.26482,69.46866,3,2,3
00057520,35.2206,69.403,3,2,3
00057520,35.29402,69.30271,3,2,3
00057520,34.63999,70.19714,3,2,3
00057520,34.63125,70.23248,3,2,3
00057520,34.52664,70.11746,3,2,3
00057520,34.78278,70.10917,3,2,3
00057613,36.83333,65.83333,4,2,3
00057613,36.25,64.83333,4,2,3
00057613,36.75,72,4,2,3
00057970,33,66,9,2,3
00058073,33,66,9,2,3
00058898,34.52813,69.17233,4,2,3
00058898,34.34817,62.19967,4,2,3
00058898,32.5,62.5,4,2,3
00058898,34,65,4,2,3
00058898,35,63.75,4,2,3
00058898,36.25,64.83333,4,2,3
00058898,36.83333,65.83333,4,2,3
00058898,36.21544,65.93249,4,2,3
00058898,33.75,66.25,4,2,3
00058898,34.75,67.25,4,2,3
00058898,36.75635,66.8972,4,2,3
00058898,36,67.66667,4,2,3
00058898,34.33333,70.41667,4,2,3
00058898,34.95,71.13333,4,2,3
00058922,34.5,62,4,2,3
00058922,33,66,4,2,3
00058936,34.52813,69.17233,3,2,3
00059538,33,66,9,2,3
00060777,31,64,4,2,3
00060777,31,65.75,4,2,3
00060777,34.33333,70.41667,4,2,3
00060777,33.33951,69.92041,4,2,3
00060777,35.75,69,4,2,3
00060777,35,63.75,4,2,3
00060777,36.75,68.75,4,2,3
00060777,34.5,62,4,2,3
00060777,34.52813,69.17233,4,2,3
00060777,33,66,4,2,3
00061104,33,66,9,2,3
00068012,36.75,67,4,1,4
00068012,34.5,69.41667,4,1,4
00068012,35.75,69,4,1,4
00068012,36.25,64.83333,4,1,4
00068012,36.83333,65.83333,4,1,4
00068012,36.75,72,4,1,4
00068012,35.83333,66.16667,4,1,4
00068012,35,63.75,4,1,4
00068012,34,65,4,1,4
00068012,34.75,67.25,4,1,4
00068012,33.75,66.25,4,1,4
00068012,35.40248,69.98291,4,1,4
00068012,34.95,71.13333,4,1,4
00036249,-12.38333,16.93333,4,1,4
00036249,-7.60874,15.06131,4,1,4
00036249,-9.54015,16.34096,4,1,4
00036249,-8.97504,13.82743,4,1,4
00036249,-8.91136,14.8887,4,1,4
00036249,-12.5,18.5,4,1,4
00037249,-8.83682,13.23432,4,2,3
00037249,-12.57626,13.40547,4,2,3
00037249,-5.55,12.2,4,2,3
00037249,-14.69531,15.00014,4,2,3
00040779,-12.5,18.5,9,2,3
00041138,-12.5,18.5,9,2,3
00044526,-12.77611,15.73917,4,2,3
00045302,-12.5,18.5,9,2,3
00047708,-12.5,18.5,9,2,3
00050950,-8.83682,13.23432,4,2,4
00050950,-12.77611,15.73917,4,2,4
00050950,-12.2059,17.1811,4,2,4
00050950,-9.54015,16.34096,4,2,4
00050950,-15.94761,19.3832,4,2,4
00050951,-12.5,18.5,9,2,3
00057124,-12.5,18.5,9,2,3
00057521,-8.83682,13.23432,3,2,3
00059621,-12.5,18.5,9,2,3
00060268,-12.5,18.5,9,1,3
00062235,-12.5,18.5,9,2,3
00062500,-12.5,18.5,9,2,3
00062504,-12.5,18.5,9,2,3
00044131,41.3275,19.81889,3,2,3
00044625,41,20,9,1,1
00045149,41.3275,19.81889,3,2,3
00048554,41,20,9,2,3
00048575,41,20,9,2,2
00048787,41,20,9,2,2
00050650,41,20,9,2,3
00050767,41.3275,19.81889,3,1,4
00050816,41.66667,20.16667,4,1,4
00050816,41.1125,20.08222,4,1,4
00050816,42.07694,20.42194,4,1,4
00050816,40.70583,19.95222,4,1,4
00058061,41.3275,19.81889,3,1,4
00058061,41.77444,19.78611,3,1,4
00058061,40.61861,20.78083,3,1,4
00058168,41,20,9,2,3
00058235,42.07694,20.42194,3,1,3
00058236,41.3275,19.81889,3,1,3
00058285,41,20,9,1,3
00058655,42.06828,19.51258,3,1,4
00058655,40.46667,19.48972,3,1,4
00059465,41.38167,19.76028,3,2,3
00059465,41.1125,20.08222,3,2,3
00059850,40.70583,19.95222,3,2,3
00059850,40.61861,20.78083,3,2,3
00059850,40.46667,19.48972,3,2,3
00060273,41.3275,19.81889,3,2,2
00060274,41,20,9,2,3
00060315,41.3275,19.81889,3,2,3
00060398,41,20,9,2,3
00060845,41,20,9,2,3
00060942,40.72389,19.55611,3,2,3
00060942,41.78361,19.64361,3,2,3
00060942,41.1125,20.08222,3,2,3
00061049,41,20,9,2,3
00061877,41.3275,19.81889,3,2,3
00062031,41,20,9,2,3
00062193,41,20,9,2,4
00062608,41.3275,19.81889,3,2,4
00062634,41,20,9,2,4
00039595,25.25817,55.30472,9,2,4
00046520,23.61387,58.5922,3,2,3
