"awardID","projectID","donorID","short_descr","long_descr","donor_type_lvl1","donor_type_lvl1_descr","donor_type_lvl3","donor_type_lvl3_descr"
"00036732","00048600","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036732","00058035","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036732","00058036","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036732","00058037","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036732","00048600","00182","NET","GOVERNMENT OF NETHERLANDS","NON_PROG CTY","NON_PROGRAMME COUNTRY","NLD","Netherlands"
"00036732","00058037","00182","NET","GOVERNMENT OF NETHERLANDS","NON_PROG CTY","NON_PROGRAMME COUNTRY","NLD","Netherlands"
"00036732","00048600","10166","BCPR","BUREAU FOR CRISIS PREVENTION AND RECOVER","OTH","OTHERS","OTH_UND1","OTHERS_UNIDENTIFIED1"
"00036732","00048600","11519","MOLD","Ministry of Local development","PROG CTY","PROGRAMME COUNTRY","EGY","Egypt"
"00036732","00058035","11519","MOLD","Ministry of Local development","PROG CTY","PROGRAMME COUNTRY","EGY","Egypt"
"00036732","00058036","11519","MOLD","Ministry of Local development","PROG CTY","PROGRAMME COUNTRY","EGY","Egypt"
"00036748","00040083","00102","ELS","GOVERNMENT OF EL SALVADOR","PROG CTY","PROGRAMME COUNTRY","SLV","El Salvador"
"00036751","00040086","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
