"awardID","projectID","donorID","short_descr","long_descr","donor_type_lvl1","donor_type_lvl1_descr","donor_type_lvl3","donor_type_lvl3_descr"
"00037943","00041625","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00037951","00041637","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00037953","00041651","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00037958","00041656","00018","AsDB","ASIAN DEVELOPMENT BANK","MULTI_AGY","MULTI-LATERAL AGENCY","MUTLI_AGY2","MULTI-LATERAL AGENCY2"
"00037958","00041656","10018","IBRD","INTER BANK FOR RECONST AND DEVELOP","MULTI_AGY","MULTI-LATERAL AGENCY","MUTLI_AGY2","MULTI-LATERAL AGENCY2"
"00037975","00041676","01013","GOB","ARG-GOBIERNO","PROG CTY","PROGRAMME COUNTRY","ARG","Argentina"
"00037977","00041682","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00037977","00041682","00029","NGO(INTL)","INTERNATIONAL NON-GOVERNMENTAL ORGANIZAT","PRIV","PRIVATE SECTOR","PRIV_INTL 1","PRIVATE SECTOR INTERNATIONAL 1"
"00037977","00041682","00296","UN","UNITED NATIONS","MULTI_AGY","MULTI-LATERAL AGENCY","UN","UN AGENCY 1"
"00037981","00041686","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
"00037985","00041690","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
"00037986","00041691","00311","PRIVSECT","PRIVATE SECTOR","PRIV","PRIVATE SECTOR","PRIV_NATL 1","PRIVATE SECTOR NATIONAL 1"
"00037986","00041691","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
"00037987","00041692","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
"00037989","00053649","00006","WHO","WORLD HEALTH ORGANIZATION","MULTI_AGY","MULTI-LATERAL AGENCY","WHO","UN AGENCY 1"
"00037989","00053579","00302","UNFIP","UNFIP TURNER FOUNDATION","MULTI_AGY","MULTI-LATERAL AGENCY","UNFIP","UN AGENCY 1"
"00037989","00053617","00302","UNFIP","UNFIP TURNER FOUNDATION","MULTI_AGY","MULTI-LATERAL AGENCY","UNFIP","UN AGENCY 1"
"00037989","00053620","00302","UNFIP","UNFIP TURNER FOUNDATION","MULTI_AGY","MULTI-LATERAL AGENCY","UNFIP","UN AGENCY 1"
"00037989","00053647","00302","UNFIP","UNFIP TURNER FOUNDATION","MULTI_AGY","MULTI-LATERAL AGENCY","UNFIP","UN AGENCY 1"
"00038013","00041726","01013","GOB","ARG-GOBIERNO","PROG CTY","PROGRAMME COUNTRY","ARG","Argentina"
"00038024","00041743","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038024","00054991","10721","IDA-MDTFAN","IDA-MULTI-DONOR TF ACEH & N SUMATRA","MULTI_AGY","MULTI-LATERAL AGENCY","MUTLI_AGY2","MULTI-LATERAL AGENCY2"
"00038027","00041756","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038027","00057912","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038027","00057912","00280","EU","EUROPEAN UNION","MULTI_AGY","MULTI-LATERAL AGENCY","MUTLI_AGY2","MULTI-LATERAL AGENCY2"
"00038038","00041771","01013","GOB","ARG-GOBIERNO","PROG CTY","PROGRAMME COUNTRY","ARG","Argentina"
"00038076","00041863","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038180","00042090","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
"00038190","00042113","00155","LUX","GOVERNMENT OF LUXEMBOURG","NON_PROG CTY","NON_PROGRAMME COUNTRY","LUX","Luxembourg"
"00038202","00042135","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038202","00042135","00078","CAN","GOVERNMENT OF CANADA","NON_PROG CTY","NON_PROGRAMME COUNTRY","CAN","Canada"
"00038331","00042399","10394","CONOCO-PHI","CONOCO-PHILLIPS","OTH","OTHERS","OTH_UND1","OTHERS_UNIDENTIFIED1"
"00038334","00042404","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038338","00042416","00001","UNDESA","UN DEPT OF ECONOMIC AND SOCIAL AFFAIRS","MULTI_AGY","MULTI-LATERAL AGENCY","UNDESA","UN AGENCY 1"
"00038338","00042416","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038342","00042424","00194","PER","GOVERNMENT OF PERU","PROG CTY","PROGRAMME COUNTRY","PER","Peru"
"00038343","00042425","00030","NGO(NATL)","NON-GOVERNMENTAL ORGANIZATION","PRIV","PRIVATE SECTOR","PRIV_NATL 1","PRIVATE SECTOR NATIONAL 1"
"00038361","00042463","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038379","00042487","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
"00038410","00042547","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038410","00044664","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038423","00042574","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
"00038424","00049248","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038426","00042577","00155","LUX","GOVERNMENT OF LUXEMBOURG","NON_PROG CTY","NON_PROGRAMME COUNTRY","LUX","Luxembourg"
"00038432","00042587","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038432","00042587","10159","EUCOMM","EUROPEAN COMMISSION","MULTI_AGY","MULTI-LATERAL AGENCY","MUTLI_AGY2","MULTI-LATERAL AGENCY2"
"00038436","00071323","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038436","00042592","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
"00038467","00042639","00006","WHO","WORLD HEALTH ORGANIZATION","MULTI_AGY","MULTI-LATERAL AGENCY","WHO","UN AGENCY 1"
"00038468","00042640","00095","DEN","GOVERNMENT OF DENMARK","NON_PROG CTY","NON_PROGRAMME COUNTRY","DNK","Denmark"
"00038478","00042659","00112","FRA","GOVERNMENT OF FRANCE","NON_PROG CTY","NON_PROGRAMME COUNTRY","FRA","France"
"00038492","00046004","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00038492","00046004","10562","ONDO STATE","ONDO STATE GOVERNMENT","PROG CTY","PROGRAMME COUNTRY","NGA","Nigeria"
"00038498","00042694","00550","CIDA","CANADIAN INTERNATIONAL DEVELOPMENT AGENC","NON_PROG CTY","NON_PROGRAMME COUNTRY","CAN","Canada"
"00038498","00042694","00551","DFID","DEPARTMENT FOR INT'L DEVELOPMENT (DFID)","NON_PROG CTY","NON_PROGRAMME COUNTRY","GBR","United Kingdom"
"00038501","00042703","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
