"hq_co","bureau","operatingunit","awardID","award_title","award_description","start_date","end_date","institutionid","inst_descr","inst_type","inst_type_descr","fiscal_year","budget","expenditure"
"CO","RBAS","JOR","00043564","Localization of the MDGs-Zarqa"," ","2006-03-15 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","20573","8575.83"
"CO","RBAS","JOR","00043828","SOARING BIRDS - Regional","Mainstreaming Conservation of Migratory Soaring Birds into Key Productive Sectors Along the Rift Valley/Red Sea flyway","2008-01-01 00:00:00","2014-12-31 00:00:00","01666","Non-Governmental Organisation","NGL","Local NGO","2011","523649","463151.25"
"CO","RBAS","JOR","00045059","Supp the UNDP Programme Dev & Implementation in Jordan","Umbrella Project to Support the UNDP Programme Development and Implementation in Jordan","2006-09-01 00:00:00","2011-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","1","-21208.19"
"CO","RBAS","JOR","00046638","Launching the UN Global Compact in Jordan","Launching the United Nations Global Compact in Jordan","2007-03-01 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","20000","15643.38"
"CO","RBAS","JOR","00048088","Harmonized Approach Implementaion","Harmonized Approach to Cash Transfer (HACT) Implementation in Jordan","2007-09-01 00:00:00","2011-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","20522.19","4507.85"
"CO","RBAS","JOR","00048096","Adaptation to Climate Change to Sustain Jordan’s MDGs","Adaptation to Climate Change to Sustain Jordan’s MDG Achievements.","2007-09-18 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","208065.39","204125.43"
"CO","RBAS","JOR","00048311","Aqaba Earthquake","The project aims at conducting an earthquake assessment for the city of Aqaba.","2008-10-01 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","161363.34","149976.7"
"CO","RBAS","JOR","00049295","Soaring Birds - National","Mainstreaming Conservation of Migratory Soaring Birds into Key Productive Sectors Along the Rift Valley/Red Sea flyway","2008-02-01 00:00:00","2013-12-31 00:00:00","01666","Non-Governmental Organisation","NGL","Local NGO","2011","88400","79103.77"
"CO","RBAS","JOR","00049425","Support to Effective Women Participation in Public Life","Increased women’s effective presence in decision-making positions at the local level.","2008-02-18 00:00:00","2010-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","0","2.54"
"CO","RBAS","JOR","00050344","Northern Border Mine Clearance (NPA)","The Northern Border Clearance Project represents the final phase of the National Committee for Demining and Rehabilitation’s long-term strategy to demine Jordan.","2008-06-24 00:00:00","2012-12-31 00:00:00","01666","Non-Governmental Organisation","NGL","Local NGO","2011","634771","632930.19"
"CO","RBAS","JOR","00050570","Northern Border Mine Clearance","The Northern Border Clearance Project represents the final phase of the National ?Committee for Demining and Rehabilitation’s long-term strategy to demine Jordan. ?","2008-06-24 00:00:00","2012-12-31 00:00:00","01666","Non-Governmental Organisation","NGL","Local NGO","2011","1","-2815.2"
"CO","RBAS","JOR","00050814","Developing policy-relevant capacity of Global Env. Conv.","Policy-relevant capacities for the implementation of the Global Environment Conventions are developed","2009-01-01 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","224801.37","185102.58"
"CO","RBAS","JOR","00057351","Support to Poverty Analysis and Monitoring","Support to Poverty Analysis and Monitoring at Ministry of Planning and Department of Statistics: 
Thinking Differently about Poverty and the Poor","2009-05-01 00:00:00","2014-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","305499","253009.28"
"CO","RBAS","JOR","00057461","Support the Anti-corruption Commission","Support the Anti-corruption Commission to Implement Elements of the National Anti-Corruption Strategy.","2009-06-01 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","189467","145862.01"
"CO","RBAS","JOR","00057803","Marine Biodiversity","Mainstreaming marine biodiversity conservation into coastal zone management in the Aqaba Special Economic","2009-07-01 00:00:00","2011-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","2863.34","2156.96"
"CO","RBAS","JOR","00057934","Community Radio Station in Zarqa","Supporting the Empowerment of Local Communities in Zarqa through Community Radio Station.","2009-08-01 00:00:00","2012-12-31 00:00:00","01666","Non-Governmental Organisation","NGL","Local NGO","2011","112426.27","110003.15"
"CO","RBAS","JOR","00059526","Energy Effiecincy Standards and Labeling in Jordan","Energy Effiecincy Standards and Labeling in Jordan","2010-06-01 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","114100","53260.8"
"CO","RBAS","JOR","00059685","Umbrella Project in Support of the Jordan Dev. Programme","Umbrella Project in Support of the Jordan Development Programme for the CO.","2010-01-01 00:00:00","2012-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","256453","192092.75"
"CO","RBAS","JOR","00060013","Capacity Development Programme for the NCHR","Capacity Development Program for the National Center for Human Rights.","2010-05-01 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","173960","142500.27"
"CO","RBAS","JOR","00060123","Third National Report to UNFCCC","Enabling Activities for the Preparation of Jordan’s Third National Communication Proposal to the UNFCCC (JSA-TNC)","2010-07-01 00:00:00","2013-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","19643.12","16715.55"
"CO","RBAS","JOR","00060368","Food and Nutrition Security in Jordan","Food and Nutrition Security in Jordan towards Poverty Alleviation.","2010-08-01 00:00:00","2013-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","367160","211433.55"
