awardID,lat,lon,precision,type,scope
58236,41.3275,19.81889,3,1,1
58061,41.3275,19.81889,3,2,3
50767,41.3275,19.81889,3,2,1
45149,41.3275,19.81889,3,2,1
44131,41.3275,19.81889,3,1,1
59850,40.70583,19.95222,3,1,3
58655,42.06828,19.51258,3,1,3
62088,-34,-64,9,1,4
61785,-34,-64,9,1,4
61784,-34,-64,9,1,4
61755,-34,-64,9,1,4
61600,-34,-64,9,1,4
61544,-34,-64,9,1,4
61512,-34,-64,9,1,4
61337,-34,-64,9,1,4
61062,-34,-64,9,1,4
60872,-34,-64,9,1,4
60741,-34,-64,9,1,4
60728,-34,-64,9,1,4
60727,-34,-64,9,1,4
60100,-34,-64,9,1,4
59639,-34,-64,9,1,4
59493,-34,-64,9,1,4
59428,-34,-64,9,1,4
59115,-34,-64,9,1,4
59111,-34,-64,9,1,4
58991,-34,-64,9,1,4
58389,-34,-64,9,1,4
57425,-34,-64,9,1,4
57099,-34,-64,9,1,4
57048,-34,-64,9,1,4
56943,-34,-64,9,1,4
51439,-34,-64,9,1,4
50972,-34,-64,9,1,4
50964,-34,-64,9,1,4
50896,-34,-64,9,1,4
50725,-34,-64,9,1,4
50612,-34,-64,9,1,4
50376,-34,-64,9,1,4
50252,-34,-64,9,1,4
49423,-34,-64,9,1,4
32074,-34,-64,9,1,4
45493,34,64,9,1,4
62505,-34.61315,-58.37723,4,1,3
62399,-27.46056,-58.98389,4,1,3
61908,-34.61315,-58.37723,3,1,2
60974,-34.61315,-58.37723,1,1,4
51338,-34.61315,-58.37723,3,1,4
51157,-34.61315,-58.37723,3,1,4
50540,-34.61315,-58.37723,3,1,4
50385,-34.61315,-58.37723,3,1,4
49382,-34.61315,-58.37723,3,1,1
47557,-34.61315,-58.37723,3,1,1
45933,-34.61315,-58.37723,3,1,1
45495,-34.61315,-58.37723,3,1,1
45362,-34.61315,-58.37723,3,1,1
44932,-34.61315,-58.37723,3,1,1
42824,-34.61315,-58.37723,3,1,1
42795,-34.61315,-58.37723,3,1,1
42764,-34.61315,-58.37723,3,1,1
42725,-34.61315,-58.37723,3,1,1
42695,-34.61315,-58.37723,3,1,1
41317,-34.61315,-58.37723,3,2,1
40267,-34.61315,-58.37723,3,1,1
37975,-34.61315,-58.37723,3,1,1
37379,-34.61315,-58.37723,3,1,1
59225,-34.61315,-58.37723,3,2,1
49410,-28.281,-65.476,3,1,4
34026,-28.46957,-65.78524,4,2,2
33919,-26.17753,-58.17814,4,2,2
62399,-27.46056,-58.98389,4,1,3
58990,-27.46056,-58.98389,3,1,3
56816,-27.46056,-58.98389,4,1,2
33919,-26.17753,-58.17814,4,2,2
59495,-25,-59.75,4,1,5
45257,-27.36708,-55.89608,4,2,2
49410,-28.281,-65.476,3,1,2
58371,-31.4135,-64.18105,1,1,1
61281,-27.4806,-58.8341,1,1,1
33919,-26.17753,-58.17814,4,2,2
49410,-28.281,-65.476,3,1,2
62499,-32,-59,4,1,3
58990,-27.46056,-58.98389,3,1,3
45257,-27.36708,-55.89608,4,2,2
49410,-28.281,-65.476,3,1,2
61377,-34.83333,-58.25,3,1,1
49410,-28.281,-65.476,3,1,2
58990,-27.46056,-58.98389,3,1,3
45257,-27.36708,-55.89608,4,2,2
33919,-26.17753,-58.17814,4,2,2
62126,-24.19456,-65.29712,3,1,3
58990,-27.46056,-58.98389,3,1,3
33919,-26.17753,-58.17814,4,2,2
34026,-28.46957,-65.78524,4,2,2
45257,-27.36708,-55.89608,4,2,2
49410,-28.281,-65.476,3,1,2
34026,-28.46957,-65.78524,4,2,2
