donor,abbrev,amount
Argentina,ARG,234742959.9
Brazil,BRA,72609761.8
Egypt,EGY,37060020.13
El Salvador,SLV,35271032.2
Colombia,COL,25830764.5
Saudi Arabia,SAU,20380688.26
India,IND,15785016.44
Venezuela,VEN,13817088.06
Peru,PER,13134100.83
Panama,PAN,13034607.56
