hq_co,bureau,operatingunit,awardID,award_title,award_description,start_date,end_date,institutionid,inst_descr,inst_type,inst_type_descr,fiscal_year,budget,expenditure
CO,PAPP,PAL,14146,JERICHO & HEBRON WATER,UPGRADING OF WATER SYSTEMS IN JERICHO & HEBRON CITIES,1998-10-16 00:00:00,2012-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,14063.23,14063.23
CO,PAPP,PAL,14161,CONS. EQUIP. GAZA - INTERN. AIRPORT,Construction and Equipment of Gaza International Airport,1999-04-30 00:00:00,2011-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,354902,354902
CO,PAPP,PAL,14162,TECHNICAL ASSITANCE & EQUIPMENT- GAZA AIR PORT,Technical Assistance and Equipment for the GAZA International Airport,1999-05-17 00:00:00,2011-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,403336,403336
CO,PAPP,PAL,14163,Development of the Northern Wing at Alia Hospital,This project aims at assisting the Palestinian Authority to carry out its National Health Plan through the construction of the first and second stages of the Northern Wing at Princess Alia Hospital in Hebron.,1999-10-31 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,386125,374580.62
CO,PAPP,PAL,14169,LOCAL RURAL DEVELOPMENT PHASE III,Local Rural Development phase - III in the WEst bank and Gaza,2000-01-17 00:00:00,2011-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,5899812.26,-17024.98
CO,PAPP,PAL,14172,URGENT WATER SUPPLY TO UN-SERVED AREAS OF- WB,Urgent Water Supply to UN-served Areas of the West Bank,2000-03-08 00:00:00,2011-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,19091,0
CO,PAPP,PAL,14179,Construction of the Tulkarem Gov. Hospital - Phase III,This is the third phase of the Construction of a new modern hospital in the Palestinian city of Tulkarem. An additional floor was contructed on top of two previously constructed floors and the original hospital was rehabilitated.,2000-08-01 00:00:00,2010-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,14304,14277.7
CO,PAPP,PAL,14183,Participatory Natural Resources Management,Participatory Natural Resources Management Programme (PNRMP),2000-07-27 00:00:00,2012-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,86962,35520.94
CO,PAPP,PAL,14193,"Rehabilitation of HEALTH, EDUC  - IDB","The Rehabilitation of Health, Education, and Municipal Facilities  in the West Bank & Gaza Strip ( IDB )",2001-05-17 00:00:00,2011-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,33478,-167.38
CO,PAPP,PAL,14201,Construction of the Salfeet Government Hospital,The construction of a new Government Hospital in the Salfeet District of the West Bank was an important priorty of the Palestinian Authority to meet the general health needs of the public of the district.,2001-09-07 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,24759,22770.12
CO,PAPP,PAL,14202,Finishing Ministry of Interior -  IT & Civilian Unit,Finishing works for two floors of  the  Palestinian Authority Ministry of Interior  Information Technology and Civilian Affairs Unit in Ramallah including the purchase of furniture and equipment.,2001-01-01 00:00:00,2012-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,172041,158858.26
CO,PAPP,PAL,14205,Vocational Rehabilitation Center - ILO,Vocational Rehabilitation Center - Hebron- ILO,2001-11-05 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,95103,83797.84
CO,PAPP,PAL,14231,Support for Implementation of KFW Programme,Support for Implementation of the KfW Programmes,2002-01-01 00:00:00,2011-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,350150,107013.29
CO,PAPP,PAL,35887,Emergency Humanitarian Infra. Relief Programme ( CAP I),"Over 161 small scale infrastructure projects in the West Bank including additional classrooms, vocational training center, water networks, community service buildings, stormwater canals, etc were implmented through this programme.",2004-01-01 00:00:00,2012-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,29727,100022
