iso3,abbrev,terr_id,name,lon,lat,terr_name
KHM,KHM,42,Cambodia,104.923981,12.716432,Cambodia
KIR,KIR,131,Kiribati,-154.458271,1.834562,Kiribati
KNA,KNA,205,Saint Kitts and Nevis,-62.75352,17.326191,Saint Kitts and Nevis
KOR,KOR,199,Korea (Republic of),127.834772,36.375089,"Korea, Republic of"
KWT,KWT,133,Kuwait,47.590876,29.340791,Kuwait
LAO,LAO,135,Lao People's Democratic Republic,103.763291,18.502744,Lao People's Democratic Republic
LBN,LBN,137,Lebanon,35.888027,33.920267,Lebanon
LBR,LBR,140,Liberia,-9.307914,6.448092,Liberia
LBY,LBY,141,Libyan Arab Jamahiriya,18.023287,27.043954,Libyan Arab Jamahiriya
LCA,LCA,206,Saint Lucia,-60.968711,13.897866,St. Lucia
LIE,LIE,142,Liechtenstein,9.554268,47.151849,Liechtenstein
LKA,LKA,228,Sri Lanka,80.704727,7.608086,Sri Lanka
LSO,LSO,138,Lesotho,28.243011,-29.581,Lesotho
LTU,LTU,143,Lithuania,23.898123,55.33567,Lithuania
LUX,LUX,144,Luxembourg,6.087814,49.77063,Luxembourg
LVA,LVA,136,Latvia,24.929424,56.857534,Latvia
MAC,CHN,145,Macao,113.550125,22.18332,Macao
MAR,MAR,166,Morocco,-6.270405,32.310583,Morocco
MCO,MCO,162,Monaco,7.412822,43.747983,Monaco
MDA,MDA,161,Moldova (Republic of),28.473931,47.193869,Moldova
MDG,MDG,146,Madagascar,46.706039,-19.373383,Madagascar
MDV,MDV,150,Maldives,73.252227,3.216335,Maldives
MEX,MEX,158,Mexico,-102.532885,23.950464,Mexico
MHL,MHL,153,Marshall Islands,168.626921,7.643273,Marshall Islands
MKD,MKD,239,The former Yugoslav Republic of Macedonia,21.697476,41.599682,"Macedonia, Former Yugoslav Republic of"
MLI,MLI,151,Mali,-2.717947,17.682358,Mali
MLT,MLT,152,Malta,14.441923,35.890522,Malta
MMR,MMR,168,Myanmar,96.506921,21.154319,Myanmar
MNE,MNE,164,Montenegro,19.250305,42.791593,Montenegro
MNG,MNG,163,Mongolia,103.083218,46.835291,Mongolia
MNP,USA,182,Northern Mariana Islands,145.67922,15.08852,Northern Mariana Islands
MOZ,MOZ,167,Mozambique,35.788621,-17.638842,Mozambique
MRT,MRT,155,Mauritania,-10.332298,20.259851,Mauritania
MSR,GBR,165,Montserrat,-62.186936,16.735366,Montserrat
MTQ,FRA,154,Martinique,-61.021288,14.65255,Martinique
MUS,MUS,156,Mauritius,57.870737,-20.251869,Mauritius
MWI,MWI,148,Malawi,34.307155,-13.216022,Malawi
MYS,MYS,149,Malaysia,109.708194,3.792367,Malaysia
MYT,FRA,157,Mayotte,45.1387,-12.81871,Mayotte
NAM,NAM,169,Namibia,17.218278,-22.133246,Namibia
NCL,FRA,175,New Caledonia,165.715488,-21.316337,New Caledonia
NER,NER,178,Niger,9.397648,17.426149,Niger
NFK,AUS,181,Norfolk Island,167.952597,-29.037658,Norfolk Island
NGA,NGA,179,Nigeria,8.105306,9.59396,Nigeria
NIC,NIC,177,Nicaragua,-85.034783,12.839906,Nicaragua
NIU,NZL,180,Niue,-169.868781,-19.05231,Niue
NLD,NLD,173,Netherlands,5.603418,52.249263,Netherlands
NOR,NOR,183,Norway,9.245945,61.317147,Norway
NPL,NPL,172,Nepal,83.938548,28.253007,Nepal
NRU,NRU,170,Nauru,166.92313,-0.528742,Nauru
NZL,NZL,176,New Zealand,172.989641,-41.767715,New Zealand
OMN,OMN,184,Oman,56.609501,20.099577,Oman
PAK,PAK,185,Pakistan,68.790144,29.357903,Pakistan
PAN,PAN,188,Panama,-80.102662,8.507186,Panama
PCN,GBR,194,Pitcairn Island,-128.593232,-24.476532,Pitcairn Island
PER,PER,192,Peru,-75.229543,-10.017675,Peru
PHL,PHL,193,Philippines,122.878708,11.741833,Philippines
PLW,PLW,186,Palau,134.568687,7.501882,Palau
PNG,PNG,189,Papua New Guinea,145.241217,-6.478768,Papua New Guinea
POL,POL,195,Poland,19.400884,52.12461,Poland
PRI,USA,197,Puerto Rico,-66.462342,18.221329,Puerto Rico
PRK,PRK,64,"Korea, Democratic People's Republic of",127.181957,40.143064,"Korea, Democratic People's Republic of"
PRT,PRT,196,Portugal,-8.151946,39.69191,Portugal
